,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167631351025730
1,"(-138.4013214111328, 136.15707397460938, 9.100000381469727)","(-153.53419494628906, 137.35055541992188, 9.100000381469727)",1167631351437736
2,"(-136.28207397460938, 138.3871307373047, 9.100000381469727)","(-151.7218475341797, 140.3192901611328, 9.100000381469727)",1167631351466206
3,"(nan, nan, nan)","(nan, nan, nan)",1167631351519871
4,"(-141.68577575683594, 137.77999877929688, 9.100000381469727)","(-158.8227996826172, 140.09600830078125, 9.100000381469727)",1167631351557538
5,"(-145.41940307617188, 139.30630493164062, 9.100000381469727)","(-160.08279418945312, 139.70729064941406, 9.100000381469727)",1167631351582651
6,"(-145.39151000976562, 138.08377075195312, 9.100000381469727)","(-160.64901733398438, 140.1320343017578, 9.100000381469727)",1167631351611225
7,"(-144.68853759765625, 136.83331298828125, 9.100000381469727)","(-159.59689331054688, 141.3984375, 9.100000381469727)",1167631351640974
8,"(-145.970458984375, 140.6507568359375, 9.100000381469727)","(-156.59750366210938, 138.87596130371094, 9.100000381469727)",1167631351670744
9,"(-198.63900756835938, 135.0743865966797, 9.100000381469727)","(-220.74722290039062, 139.5870819091797, 9.100000381469727)",1167631351700193
10,"(-200.1411895751953, 134.22369384765625, 9.100000381469727)","(-219.56341552734375, 141.34799194335938, 9.100000381469727)",1167631351729659
11,"(-200.9344024658203, 135.34446716308594, 9.100000381469727)","(-215.55575561523438, 138.18670654296875, 9.100000381469727)",1167631351760239
12,"(-202.6637725830078, 134.52145385742188, 9.100000381469727)","(-218.1633758544922, 139.0066680908203, 9.100000381469727)",1167631351789713
13,"(-199.5737762451172, 132.20095825195312, 9.100000381469727)","(-220.57247924804688, 140.2500762939453, 9.100000381469727)",1167631351819467
14,"(-202.00314331054688, 131.5814208984375, 9.100000381469727)","(-218.5936737060547, 139.1716766357422, 9.100000381469727)",1167631351849451
15,"(-201.155029296875, 132.3374481201172, 9.100000381469727)","(-220.71803283691406, 138.58474731445312, 9.100000381469727)",1167631351879147
16,"(-199.1732635498047, 130.60069274902344, 9.100000381469727)","(-215.4232940673828, 140.03839111328125, 9.100000381469727)",1167631351909081
17,"(-200.66004943847656, 130.8616943359375, 9.100000381469727)","(-215.8430938720703, 138.77024841308594, 9.100000381469727)",1167631351938221
18,"(-199.39382934570312, 130.7301788330078, 9.100000381469727)","(-217.9992218017578, 141.15049743652344, 9.100000381469727)",1167631351968691
19,"(-196.9088134765625, 131.07418823242188, 9.100000381469727)","(-216.65499877929688, 138.08421325683594, 9.100000381469727)",1167631351998234
20,"(-181.55465698242188, 135.40597534179688, 9.100000381469727)","(-194.2024688720703, 139.39247131347656, 9.100000381469727)",1167631352028131
21,"(-181.27288818359375, 134.52127075195312, 9.100000381469727)","(-192.707763671875, 137.8397979736328, 9.100000381469727)",1167631352057498
22,"(-180.429443359375, 133.146240234375, 9.100000381469727)","(-192.55221557617188, 138.88844299316406, 9.100000381469727)",1167631352087524
23,"(-178.62225341796875, 136.22799682617188, 9.100000381469727)","(-193.0440673828125, 139.5686798095703, 9.100000381469727)",1167631352117282
24,"(-182.18157958984375, 137.99435424804688, 9.100000381469727)","(-192.480712890625, 140.8124237060547, 9.100000381469727)",1167631352147521
25,"(-184.54173278808594, 134.57786560058594, 9.100000381469727)","(-201.21615600585938, 138.7293701171875, 9.100000381469727)",1167631352177437
26,"(-186.74554443359375, 133.78077697753906, 9.100000381469727)","(-199.66397094726562, 138.99449157714844, 9.100000381469727)",1167631352207502
27,"(-185.30905151367188, 134.0942840576172, 9.100000381469727)","(-201.169677734375, 139.93157958984375, 9.100000381469727)",1167631352238494
28,"(-186.1503143310547, 134.91685485839844, 9.100000381469727)","(-198.6528778076172, 135.94732666015625, 9.100000381469727)",1167631352268576
29,"(-187.03099060058594, 133.90342712402344, 9.100000381469727)","(-202.42539978027344, 138.13336181640625, 9.100000381469727)",1167631352299580
30,"(-185.22865295410156, 132.57986450195312, 9.100000381469727)","(-202.0829620361328, 138.04376220703125, 9.100000381469727)",1167631352329610
31,"(-187.36087036132812, 130.5480194091797, 9.100000381469727)","(-199.48789978027344, 140.74603271484375, 9.100000381469727)",1167631352359697
32,"(-212.43905639648438, 181.66775512695312, 9.100000381469727)","(-222.9581756591797, 187.74990844726562, 9.100000381469727)",1167631352390608
33,"(-211.9025115966797, 201.241943359375, 9.100000381469727)","(-225.8299102783203, 203.92347717285156, 9.100000381469727)",1167631352420739
34,"(-211.14073181152344, 203.0236053466797, 9.100000381469727)","(-223.1374053955078, 208.94189453125, 9.100000381469727)",1167631352450325
35,"(-211.06985473632812, 203.56483459472656, 9.100000381469727)","(-225.83367919921875, 205.91209411621094, 9.100000381469727)",1167631352479921
36,"(-211.37557983398438, 204.21524047851562, 9.100000381469727)","(-230.18832397460938, 208.8151092529297, 9.100000381469727)",1167631352509886
37,"(-210.4380645751953, 201.5603485107422, 9.100000381469727)","(-230.16082763671875, 209.40621948242188, 9.100000381469727)",1167631352539825
38,"(-215.68064880371094, 198.49032592773438, 9.100000381469727)","(-229.2889404296875, 205.40635681152344, 9.100000381469727)",1167631352569821
39,"(-215.41925048828125, 200.3932342529297, 9.100000381469727)","(-230.537353515625, 205.2759552001953, 9.100000381469727)",1167631352599539
40,"(-216.65554809570312, 201.2813720703125, 9.100000381469727)","(-230.28311157226562, 203.4464111328125, 9.100000381469727)",1167631352630956
41,"(-215.53518676757812, 199.34178161621094, 9.100000381469727)","(-230.51747131347656, 205.75527954101562, 9.100000381469727)",1167631352660200
42,"(-215.5914306640625, 200.4270477294922, 9.100000381469727)","(-232.02694702148438, 205.1393585205078, 9.100000381469727)",1167631352691242
43,"(-215.3133087158203, 199.13401794433594, 9.100000381469727)","(-230.51229858398438, 205.39320373535156, 9.100000381469727)",1167631352721325
44,"(-198.310546875, 198.98854064941406, 9.100000381469727)","(-213.2973175048828, 202.6027374267578, 9.100000381469727)",1167631352750951
45,"(-191.76629638671875, 198.5517120361328, 9.100000381469727)","(-204.9286346435547, 205.5153045654297, 9.100000381469727)",1167631352780607
46,"(-191.861083984375, 197.14137268066406, 9.100000381469727)","(-205.65960693359375, 204.67218017578125, 9.100000381469727)",1167631352810759
47,"(-189.66903686523438, 198.61888122558594, 9.100000381469727)","(-203.86770629882812, 201.59353637695312, 9.100000381469727)",1167631352840397
48,"(-190.86892700195312, 197.50694274902344, 9.100000381469727)","(-204.5048828125, 203.5474395751953, 9.100000381469727)",1167631352870061
49,"(-190.4308319091797, 195.7906494140625, 9.100000381469727)","(-201.460693359375, 200.6654052734375, 9.100000381469727)",1167631352899694
50,"(-200.07337951660156, 194.99057006835938, 9.100000381469727)","(-216.5848388671875, 200.4934844970703, 9.100000381469727)",1167631352929634
51,"(-214.60525512695312, 197.3681182861328, 9.100000381469727)","(-230.1131134033203, 206.21475219726562, 9.100000381469727)",1167631352959808
52,"(-214.23831176757812, 197.6121368408203, 9.100000381469727)","(-228.565185546875, 204.8007354736328, 9.100000381469727)",1167631352989768
53,"(-212.08349609375, 196.92413330078125, 9.100000381469727)","(-230.27346801757812, 204.1796417236328, 9.100000381469727)",1167631353020396
