,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167708071208547,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167708071251089,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167708071293810,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167708071336465,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167708071379081,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167708071421697,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
6,1167708071461976,"(0.7014178037643433, 0.27768397331237793, 0.3756130039691925)","(-78.02513122558594, 69.1438217163086, 562.6838989257812)",1,"(-240.05645751953125, 442.1261901855469, 9.100000381469727)","(0.12007015943527222, -0.21095438301563263)",1,"(0.5577456951141357, 0.26651281118392944, 0.3293800950050354)","(-23.639429092407227, 70.76431274414062, 548.8140258789062)",1,"(-279.03582763671875, 477.1551818847656, 9.100000381469727)","(0.058061547577381134, -0.31001994013786316)",1
7,1167708071502314,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.5573484301567078, 0.2667507231235504, 0.3299584984779358)","(-23.505212783813477, 70.71942901611328, 548.987548828125)",1,"(-265.85003662109375, 477.84686279296875, 9.100000381469727)","(0.07903756946325302, -0.31197604537010193)",1
8,1167708071708913,"(0.7036992311477661, 0.2781164348125458, 0.3751536011695862)","(-78.8501205444336, 68.99732208251953, 562.5460815429688)",1,"(-233.2826690673828, 441.0951843261719, 9.100000381469727)","(0.13084594905376434, -0.2080385386943817)",1,"(0.5601794123649597, 0.2660232186317444, 0.32746806740760803)","(-24.48552894592285, 70.826416015625, 548.2404174804688)",1,"(-276.4588317871094, 477.97308349609375, 9.100000381469727)","(0.06216102093458176, -0.31233304738998413)",1
9,1167708071759816,"(0.7037814855575562, 0.2780521810054779, 0.37514302134513855)","(-78.88032531738281, 69.01561737060547, 562.5429077148438)",1,"(-241.4757537841797, 444.7079772949219, 9.100000381469727)","(0.11781234294176102, -0.2182559221982956)",1,"(0.5605197548866272, 0.26609280705451965, 0.3270265758037567)","(-24.600229263305664, 70.788818359375, 548.1079711914062)",1,"(-280.01727294921875, 475.6753234863281, 9.100000381469727)","(0.05650024488568306, -0.30583474040031433)",1
