,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167648084988822,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167648085031651,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167648085074208,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167648085116774,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167648085139774,"(0.6689662337303162, 0.38552024960517883, 0.678219199180603)","(-76.16291809082031, 39.60322952270508, 653.4657592773438)",1,"(-89.82500457763672, 301.876220703125, 9.100000381469727)","(0.35905933380126953, 0.1856868714094162)",1,"(0.5406670570373535, 0.3853563070297241, 0.6699658036231995)","(-20.399812698364258, 40.01042556762695, 650.98974609375)",1,"(-72.0238265991211, 297.46307373046875, 9.100000381469727)","(0.38737753033638, 0.19816774129867554)",1
5,1167648085168825,"(0.6689091920852661, 0.38559144735336304, 0.6783093214035034)","(-76.14031982421875, 39.58222961425781, 653.4927978515625)",1,"(-87.76946258544922, 295.6956787109375, 9.100000381469727)","(0.36232930421829224, 0.2031661570072174)",1,"(0.5405752062797546, 0.3854130208492279, 0.6695395708084106)","(-20.356910705566406, 39.98462677001953, 650.8618774414062)",1,"(-61.07705307006836, 319.6457214355469, 9.100000381469727)","(0.4047917425632477, 0.13543294370174408)",1
6,1167648085224151,"(0.6686334609985352, 0.38577789068222046, 0.6785821318626404)","(-76.02731323242188, 39.5283317565918, 653.5746459960938)",1,"(-86.04379272460938, 299.8594055175781, 9.100000381469727)","(0.36507448554039, 0.19139063358306885)",1,"(0.5403169989585876, 0.3855893015861511, 0.6700950264930725)","(-20.248817443847656, 39.939422607421875, 651.0285034179688)",1,"(-80.00666809082031, 305.9123229980469, 9.100000381469727)","(0.374678373336792, 0.17427243292331696)",1
7,1167648085263967,"(0.6683349013328552, 0.38567569851875305, 0.678631603717804)","(-75.89911651611328, 39.56332778930664, 653.5894775390625)",1,"(-87.86336517333984, 290.6999206542969, 9.100000381469727)","(0.3621799051761627, 0.2172946184873581)",1,"(0.5400292873382568, 0.3855823576450348, 0.669907808303833)","(-20.1229190826416, 39.9393196105957, 650.9723510742188)",1,"(-76.1749038696289, 296.1916809082031, 9.100000381469727)","(0.38077399134635925, 0.20176342129707336)",1
8,1167648085305388,"(0.6677205562591553, 0.38551217317581177, 0.6792700290679932)","(-75.64911651611328, 39.63022232055664, 653.781005859375)",1,"(-57.30650329589844, 305.30035400390625, 9.100000381469727)","(0.41078996658325195, 0.1760030835866928)",1,"(0.5393608212471008, 0.3856174945831299, 0.6698484420776367)","(-19.8330135345459, 39.929622650146484, 650.9545288085938)",1,"(-62.11492919921875, 307.9720764160156, 9.100000381469727)","(0.40314069390296936, 0.16844718158245087)",1
9,1167648085346430,"(0.6674575209617615, 0.38548022508621216, 0.6785089373588562)","(-75.51541137695312, 39.62752151489258, 653.5526733398438)",1,"(-57.125511169433594, 297.6604309082031, 9.100000381469727)","(0.4110778868198395, 0.1976095587015152)",1,"(0.5390551090240479, 0.3856709599494934, 0.6696803569793701)","(-19.699413299560547, 39.91053009033203, 650.9041137695312)",1,"(-56.076271057128906, 300.3061218261719, 9.100000381469727)","(0.41274702548980713, 0.19012735784053802)",1
10,1167648085387141,"(0.6673271059989929, 0.3854601979255676, 0.6783994436264038)","(-75.45601654052734, 39.63242721557617, 653.5198364257812)",1,"(-54.260581970214844, 299.705322265625, 9.100000381469727)","(0.41563543677330017, 0.19182641804218292)",1,"(0.5388939380645752, 0.3856980502605438, 0.6693971753120422)","(-19.627614974975586, 39.89712142944336, 650.8191528320312)",1,"(-61.86490249633789, 307.087158203125, 9.100000381469727)","(0.40353843569755554, 0.1709498167037964)",1
11,1167648085428872,"(0.6671916246414185, 0.385434091091156, 0.6781306862831116)","(-75.39031219482422, 39.63642883300781, 653.439208984375)",1,"(-59.73844909667969, 302.27410888671875, 9.100000381469727)","(0.4069212079048157, 0.18456164002418518)",1,"(0.5387842059135437, 0.38567405939102173, 0.6695801019668579)","(-19.581417083740234, 39.908729553222656, 650.8740234375)",1,"(-59.76697540283203, 296.06689453125, 9.100000381469727)","(0.4068758189678192, 0.20211628079414368)",1
12,1167648085470149,"(0.6671891212463379, 0.3854844272136688, 0.6778108477592468)","(-75.38091278076172, 39.61432647705078, 653.34326171875)",1,"(-59.6550407409668, 296.8471374511719, 9.100000381469727)","(0.4070538878440857, 0.19990967214107513)",1,"(0.5387884974479675, 0.3856959044933319, 0.6688907742500305)","(-19.578413009643555, 39.88872146606445, 650.667236328125)",1,"(-58.74869155883789, 303.53497314453125, 9.100000381469727)","(0.4084957242012024, 0.18099582195281982)",1
13,1167648085513469,"(0.6672748327255249, 0.3855622112751007, 0.6770350933074951)","(-75.39811706542969, 39.574527740478516, 653.1105346679688)",1,"(-58.55068588256836, 297.6708679199219, 9.100000381469727)","(0.40881070494651794, 0.19758005440235138)",1,"(0.5388587117195129, 0.385720431804657, 0.6685369610786438)","(-19.606319427490234, 39.874027252197266, 650.5610961914062)",1,"(-53.56218338012695, 302.083984375, 9.100000381469727)","(0.41674643754959106, 0.18509933352470398)",1
14,1167648085554443,"(0.6670259237289429, 0.3856365382671356, 0.6769437789916992)","(-75.28751373291016, 39.54991912841797, 653.0831298828125)",1,"(-31.551204681396484, 293.0069274902344, 9.100000381469727)","(0.4517616629600525, 0.21077018976211548)",1,"(0.5387403964996338, 0.38578563928604126, 0.6675323247909546)","(-19.547916412353516, 39.8347282409668, 650.2597045898438)",1,"(-31.66676139831543, 302.8177185058594, 9.100000381469727)","(0.4515778124332428, 0.18302422761917114)",1
15,1167648085594878,"(0.667081892490387, 0.3856547772884369, 0.6766605377197266)","(-75.30451965332031, 39.53852844238281, 652.9981689453125)",1,"(-31.029808044433594, 307.3642272949219, 9.100000381469727)","(0.45259109139442444, 0.1701662689447403)",1,"(0.538764476776123, 0.3857814371585846, 0.6673256158828735)","(-19.55691909790039, 39.832122802734375, 650.1976928710938)",1,"(-32.14662551879883, 292.9813537597656, 9.100000381469727)","(0.45081445574760437, 0.21084247529506683)",1
16,1167648085636322,"(0.6672361493110657, 0.38577893376350403, 0.6757338643074036)","(-75.34741973876953, 39.4808235168457, 652.7201538085938)",1,"(-30.631446838378906, 301.65240478515625, 9.100000381469727)","(0.4532248079776764, 0.18631987273693085)",1,"(0.5389043092727661, 0.38582876324653625, 0.6674076318740845)","(-19.617916107177734, 39.81792068481445, 650.2222900390625)",1,"(-30.279895782470703, 294.6280212402344, 9.100000381469727)","(0.4537840485572815, 0.20618556439876556)",1
17,1167648085677994,"(0.6674757599830627, 0.38584935665130615, 0.6753367185592651)","(-75.4410171508789, 39.449928283691406, 652.6010131835938)",1,"(-31.36387062072754, 307.26336669921875, 9.100000381469727)","(0.45205965638160706, 0.17045153677463531)",1,"(0.5390822887420654, 0.38586658239364624, 0.6665335893630981)","(-19.688718795776367, 39.788719177246094, 649.9600830078125)",1,"(-30.286640167236328, 292.9884948730469, 9.100000381469727)","(0.4537733197212219, 0.21082234382629395)",1
18,1167648085719108,"(0.6684612035751343, 0.3863050639629364, 0.6760737895965576)","(-75.88652038574219, 39.31291961669922, 652.8221435546875)",1,"(-114.5364990234375, 286.10748291015625, 9.100000381469727)","(0.3197481036186218, 0.23028254508972168)",1,"(0.5405582785606384, 0.3860258460044861, 0.6672190427780151)","(-20.33172035217285, 39.744728088378906, 650.1657104492188)",1,"(-97.1286392211914, 300.0409240722656, 9.100000381469727)","(0.3474406599998474, 0.190877303481102)",1
19,1167648085760166,"(0.6687678694725037, 0.3865267336368561, 0.6760848164558411)","(-76.0194091796875, 39.24061965942383, 652.825439453125)",1,"(-114.97992706298828, 297.91363525390625, 9.100000381469727)","(0.31904271245002747, 0.19689349830150604)",1,"(0.5406886339187622, 0.38620641827583313, 0.6666788458824158)","(-20.383913040161133, 39.676326751708984, 650.003662109375)",1,"(-104.50764465332031, 299.53240966796875, 9.100000381469727)","(0.3357020616531372, 0.192315474152565)",1
20,1167648085802116,"(0.669215977191925, 0.38653063774108887, 0.6759474873542786)","(-76.21022033691406, 39.23501968383789, 652.7842407226562)",1,"(-101.55172729492188, 291.4180603027344, 9.100000381469727)","(0.34040436148643494, 0.21526366472244263)",1,"(0.5409345030784607, 0.3861449360847473, 0.6657570600509644)","(-20.48362159729004, 39.677818298339844, 649.7271118164062)",1,"(-96.42488861083984, 281.33184814453125, 9.100000381469727)","(0.3485601842403412, 0.24378851056098938)",1
21,1167648085842617,"(0.6692860722541809, 0.3866548538208008, 0.675757646560669)","(-76.23542785644531, 39.191314697265625, 652.727294921875)",1,"(-100.93359375, 288.87005615234375, 9.100000381469727)","(0.34138768911361694, 0.22246970236301422)",1,"(0.5409568548202515, 0.3862498700618744, 0.6656253933906555)","(-20.49212646484375, 39.6416130065918, 649.6876220703125)",1,"(-96.77501678466797, 286.1687316894531, 9.100000381469727)","(0.34800320863723755, 0.2301093190908432)",1
