,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167646757554915,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167646757597776,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167646757634579,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167646757677255,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167646757719849,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167646757762427,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
6,1167646757808430,"(0.5864638686180115, 0.6222407817840576, 0.596459150314331)","(-38.78172302246094, -35.035518646240234, 628.937744140625)",1,"(133.50466918945312, 294.4259033203125, 9.100000381469727)","(0.7143335938453674, 0.20675718784332275)",1,"(0.46233925223350525, 0.6342953443527222, 0.4972843527793884)","(13.150928497314453, -37.47341537475586, 599.185302734375)",1,"(121.4397964477539, 233.57008361816406, 9.100000381469727)","(0.6951407194137573, 0.37886369228363037)",1
7,1167646757849190,"(0.5884239673614502, 0.6208227276802063, 0.5962711572647095)","(-39.607818603515625, -34.600521087646484, 628.88134765625)",1,"(106.28540802001953, 253.46414184570312, 9.100000381469727)","(0.6710330247879028, 0.32260122895240784)",1,"(0.45632392168045044, 0.6361467242240906, 0.5970898270606995)","(16.095916748046875, -38.8585205078125, 629.126953125)",1,"(94.06893920898438, 292.96307373046875, 9.100000381469727)","(0.6515989899635315, 0.21089422702789307)",1
8,1167646758000104,"(0.5931723117828369, 0.6185681819915771, 0.5925506353378296)","(-41.55862808227539, -33.86011505126953, 627.7651977539062)",1,"(144.42176818847656, 302.9949035644531, 9.100000381469727)","(0.731700599193573, 0.18252313137054443)",1,"(0.46050140261650085, 0.6339032053947449, 0.5988313555717468)","(14.33962631225586, -38.210819244384766, 629.6494140625)",1,"(155.9195556640625, 260.3505554199219, 9.100000381469727)","(0.7499913573265076, 0.3031257092952728)",1
9,1167646758041702,"(0.5927258729934692, 0.6190078854560852, 0.5934871435165405)","(-41.38362503051758, -34.009517669677734, 628.046142578125)",1,"(150.44503784179688, 293.3288269042969, 9.100000381469727)","(0.7412824630737305, 0.20985980331897736)",1,"(0.4605196714401245, 0.6350796818733215, 0.594622790813446)","(14.314523696899414, -38.49871826171875, 628.3868408203125)",1,"(171.2888946533203, 355.95391845703125, 9.100000381469727)","(0.7744410037994385, 0.03274964168667793)",1
