,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167649557391920,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167649557434761,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167649557477413,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167649557514228,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167649557556840,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167649557599490,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
6,1167649557642174,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
7,1167649557684901,"(0.5465890765190125, 0.6245558857917786, 0.5419396758079529)","(-21.53792953491211, -34.6406135559082, 612.5819091796875)",1,"(-168.17308044433594, 358.2978515625, 9.100000381469727)","(0.2344226837158203, 0.026120804250240326)",1,"(0.4276546537876129, 0.6329213380813599, 0.6723750829696655)","(28.876920700073242, -39.04771423339844, 651.7125244140625)",1,"(-153.47610473632812, 334.57562255859375, 9.100000381469727)","(0.2578027546405792, 0.0932096540927887)",1
8,1167649557725822,"(0.5467175841331482, 0.6245059967041016, 0.5414695143699646)","(-21.587419509887695, -34.618125915527344, 612.4408569335938)",1,"(-95.3297348022461, 260.6688537597656, 9.100000381469727)","(0.3503023684024811, 0.30222558975219727)",1,"(0.42785748839378357, 0.6327426433563232, 0.672379732131958)","(28.789012908935547, -38.9913215637207, 651.7139282226562)",1,"(-87.53180694580078, 318.71612548828125, 9.100000381469727)","(0.36270734667778015, 0.138061985373497)",1
9,1167649557842858,"(0.5555896759033203, 0.6239898800849915, 0.6660821437835693)","(-26.409618377685547, -36.5919303894043, 649.8246459960938)",1,"(173.9783172607422, 377.5272216796875, 9.100000381469727)","(0.7787193059921265, -0.028261883184313774)",1,"(0.4273071587085724, 0.6324810981750488, 0.6729229688644409)","(29.031715393066406, -38.914825439453125, 651.8768920898438)",1,"(173.994873046875, 378.2878723144531, 9.100000381469727)","(0.7787456512451172, -0.030413053929805756)",1
10,1167649557894222,"(0.556114673614502, 0.623789370059967, 0.66488116979599)","(-26.625411987304688, -36.50972366333008, 649.46435546875)",1,"(173.6538543701172, 366.4140930175781, 9.100000381469727)","(0.7782031893730164, 0.0031671992037445307)",1,"(0.42761003971099854, 0.6323857307434082, 0.6723913550376892)","(28.895614624023438, -38.87592697143555, 651.7174072265625)",1,"(176.6910858154297, 369.65509033203125, 9.100000381469727)","(0.7830348014831543, -0.005998627748340368)",1
