,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167630840554086
1,"(93.12911224365234, 243.73118591308594, 9.100000381469727)","(90.79624938964844, 245.27317810058594, 9.100000381469727)",1167630840941925
2,"(95.68743896484375, 244.50607299804688, 9.100000381469727)","(91.37398529052734, 247.23094177246094, 9.100000381469727)",1167630840972067
3,"(nan, nan, nan)","(nan, nan, nan)",1167630841045783
4,"(95.25662231445312, 249.4690399169922, 9.100000381469727)","(88.81942749023438, 247.5620880126953, 9.100000381469727)",1167630841082601
5,"(94.76158142089844, 246.65994262695312, 9.100000381469727)","(91.79771423339844, 249.3303680419922, 9.100000381469727)",1167630841107676
6,"(94.03199768066406, 248.55149841308594, 9.100000381469727)","(93.25069427490234, 249.5244903564453, 9.100000381469727)",1167630841145544
7,"(92.85787963867188, 250.08335876464844, 9.100000381469727)","(88.10250854492188, 248.17306518554688, 9.100000381469727)",1167630841176938
8,"(95.08708190917969, 248.57232666015625, 9.100000381469727)","(89.92166137695312, 247.5753173828125, 9.100000381469727)",1167630841209431
9,"(96.2833251953125, 248.9110565185547, 9.100000381469727)","(90.59757995605469, 249.38185119628906, 9.100000381469727)",1167630841241229
10,"(96.57412719726562, 248.37965393066406, 9.100000381469727)","(90.20732879638672, 248.45526123046875, 9.100000381469727)",1167630841272946
11,"(95.4561767578125, 249.0576934814453, 9.100000381469727)","(95.4557113647461, 249.29930114746094, 9.100000381469727)",1167630841304638
12,"(97.13048553466797, 248.31834411621094, 9.100000381469727)","(89.2857437133789, 245.43910217285156, 9.100000381469727)",1167630841336594
13,"(96.37615203857422, 249.71725463867188, 9.100000381469727)","(91.73414611816406, 245.74903869628906, 9.100000381469727)",1167630841368124
14,"(101.98974609375, 244.72640991210938, 9.100000381469727)","(97.56192016601562, 242.83966064453125, 9.100000381469727)",1167630841399124
15,"(99.42577362060547, 245.62767028808594, 9.100000381469727)","(97.8861083984375, 244.6658172607422, 9.100000381469727)",1167630841431138
16,"(99.73403930664062, 245.3335418701172, 9.100000381469727)","(95.38539123535156, 244.15386962890625, 9.100000381469727)",1167630841462141
17,"(101.2101058959961, 244.00778198242188, 9.100000381469727)","(96.77391052246094, 244.47410583496094, 9.100000381469727)",1167630841493990
18,"(101.77774047851562, 246.13104248046875, 9.100000381469727)","(100.3284912109375, 246.4497833251953, 9.100000381469727)",1167630841525984
19,"(119.85610961914062, 246.87042236328125, 9.100000381469727)","(121.98118591308594, 243.20127868652344, 9.100000381469727)",1167630841558262
20,"(118.98282623291016, 244.05484008789062, 9.100000381469727)","(120.79890441894531, 243.543212890625, 9.100000381469727)",1167630841589943
21,"(139.80072021484375, 241.0312042236328, 9.100000381469727)","(127.99395751953125, 238.77049255371094, 9.100000381469727)",1167630841623430
22,"(139.32681274414062, 242.87991333007812, 9.100000381469727)","(129.34085083007812, 241.2889404296875, 9.100000381469727)",1167630841656193
