,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167647237641307,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167647237685227,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167647237723237,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167647237767068,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167647237810875,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167647237851648,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
6,1167647237894271,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.47476622462272644, 0.5942130088806152, 0.780278742313385)","(8.875725746154785, -39.78391647338867, 684.0836181640625)",1,"(-90.48063659667969, 487.96160888671875, 9.100000381469727)","(0.35801634192466736, -0.34058162569999695)",1
7,1167647237976706,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.47575855255126953, 0.5937572717666626, 0.7799127101898193)","(8.428421020507812, -39.606117248535156, 683.9738159179688)",1,"(-90.03487396240234, 472.7342529296875, 9.100000381469727)","(0.3587254583835602, -0.2975170612335205)",1
8,1167647238027625,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.4767977297306061, 0.5938396453857422, 0.7795689105987549)","(7.961827278137207, -39.60921859741211, 683.8706665039062)",1,"(-132.93995666503906, 462.7452697753906, 9.100000381469727)","(0.29047179222106934, -0.26926717162132263)",1
9,1167647238075823,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.4773392081260681, 0.5937219858169556, 0.7794437408447266)","(7.718420028686523, -39.557716369628906, 683.8331298828125)",1,"(-128.80520629882812, 454.03466796875, 9.100000381469727)","(0.2970493733882904, -0.244632750749588)",1
