,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167658911001331,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167658911043893,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167658911086554,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167658911129106,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167658911171727,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167658911214304,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
6,1167658911254427,"(0.5770114660263062, 0.2060813307762146, 0.3143487572669983)","(-30.3967227935791, 87.18212127685547, 544.3046264648438)",1,"(-596.5458984375, 277.787353515625, 9.100000381469727)","(-0.447035551071167, 0.25381267070770264)",1,"(0.42635536193847656, 0.18278075754642487, 0.2549900412559509)","(22.277124404907227, 90.85401153564453, 526.4970092773438)",1,"(-438.9439392089844, 239.5393829345703, 9.100000381469727)","(-0.1963213086128235, 0.3619818687438965)",1
7,1167658911295185,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.41671931743621826, 0.18565629422664642, 0.25748515129089355)","(25.622804641723633, 90.20722198486328, 527.2455444335938)",1,"(-600.7427368164062, 320.69097900390625, 9.100000381469727)","(-0.4537118971347809, 0.1324768364429474)",1
8,1167658911431274,"(0.5464081168174744, 0.21674855053424835, 0.33743956685066223)","(-19.76982879638672, 85.2826156616211, 551.2318725585938)",1,"(-605.2412109375, 274.95220947265625, 9.100000381469727)","(-0.46086806058883667, 0.26183080673217773)",1,"(0.39679229259490967, 0.19207529723644257, 0.2636275291442871)","(32.60822296142578, 88.78271484375, 529.0882568359375)",1,"(-434.30242919921875, 231.80282592773438, 9.100000381469727)","(-0.18893757462501526, 0.3838616609573364)",1
9,1167658911469310,"(0.5426117777824402, 0.21673473715782166, 0.3393808901309967)","(-18.416521072387695, 85.38272094726562, 551.8142700195312)",1,"(-630.5138549804688, 292.1777648925781, 9.100000381469727)","(-0.5010719895362854, 0.2131151705980301)",1,"(0.3931027352809906, 0.1929558962583542, 0.2642812132835388)","(33.89522171020508, 88.57781982421875, 529.2843627929688)",1,"(-431.2352294921875, 234.5330810546875, 9.100000381469727)","(-0.18405824899673462, 0.37614020705223083)",1
10,1167658911585348,"(0.5335207581520081, 0.21400465071201324, 0.33349019289016724)","(-15.054625511169434, 85.89891815185547, 550.0470581054688)",1,"(-384.1106872558594, 289.4588317871094, 9.100000381469727)","(-0.10909223556518555, 0.2208045870065689)",1,"(0.38300585746765137, 0.19513696432113647, 0.26607707142829895)","(37.4233283996582, 88.07971954345703, 529.8231201171875)",1,"(-323.9845275878906, 279.0742492675781, 9.100000381469727)","(-0.013443177565932274, 0.2501732409000397)",1
11,1167658911646325,"(0.5318639278411865, 0.2148851901292801, 0.33671751618385315)","(-14.48532772064209, 85.8016128540039, 551.0152587890625)",1,"(-395.5910949707031, 295.5685729980469, 9.100000381469727)","(-0.12735535204410553, 0.2035256177186966)",1,"(0.381540447473526, 0.1977364420890808, 0.27073851227760315)","(38.07212448120117, 87.5985107421875, 531.2215576171875)",1,"(-320.04150390625, 283.9292907714844, 9.100000381469727)","(-0.007170580327510834, 0.2364427000284195)",1
12,1167658911765720,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.38265442848205566, 0.20316655933856964, 0.28678974509239197)","(38.17192840576172, 86.88731384277344, 536.0369262695312)",1,"(-319.86602783203125, 283.67376708984375, 9.100000381469727)","(-0.006891419645398855, 0.23716530203819275)",1
13,1167658911828899,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.382943719625473, 0.20712104439735413, 0.298702597618103)","(38.42952346801758, 86.36361694335938, 539.6107788085938)",1,"(-322.5628967285156, 284.42816162109375, 9.100000381469727)","(-0.011181634850800037, 0.23503181338310242)",1
14,1167658911912746,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.38105329871177673, 0.21261832118034363, 0.3140704333782196)","(39.56812286376953, 85.55670928955078, 544.2211303710938)",1,"(-317.5165710449219, 283.0614929199219, 9.100000381469727)","(-0.003153878031298518, 0.238896906375885)",1
15,1167658911969664,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.37867146730422974, 0.21607105433940887, 0.3233858346939087)","(40.71043014526367, 85.02191162109375, 547.0157470703125)",1,"(-311.2744445800781, 282.7256164550781, 9.100000381469727)","(0.006776151712983847, 0.23984678089618683)",1
16,1167658912022943,"(0.5222541093826294, 0.22957348823547363, 0.38007447123527527)","(-11.291626930236816, 83.55201721191406, 564.0223388671875)",1,"(-238.55404663085938, 240.4873046875, 9.100000381469727)","(0.12246020138263702, 0.35930106043815613)",1,"(0.37472549080848694, 0.21966756880283356, 0.3284226357936859)","(42.29592514038086, 84.2378158569336, 548.5267944335938)",1,"(-237.39613342285156, 251.72586059570312, 9.100000381469727)","(0.1243022233247757, 0.32751724123954773)",1
17,1167658912087966,"(0.5188474059104919, 0.23231197893619537, 0.3847009241580963)","(-10.040321350097656, 82.95821380615234, 565.4102783203125)",1,"(-293.9935607910156, 260.9955139160156, 9.100000381469727)","(0.034266676753759384, 0.3013017773628235)",1,"(0.3715195655822754, 0.22285136580467224, 0.33430784940719604)","(43.65061950683594, 83.6045150756836, 550.2923583984375)",1,"(-223.77456665039062, 247.51785278320312, 9.100000381469727)","(0.14597149193286896, 0.3394179344177246)",1
18,1167658912145565,"(0.5155608057975769, 0.2342139333486557, 0.38788023591041565)","(-8.819520950317383, 82.543212890625, 566.3640747070312)",1,"(-282.7684326171875, 256.4863586425781, 9.100000381469727)","(0.05212368816137314, 0.31405407190322876)",1,"(0.36834216117858887, 0.2255305051803589, 0.3377280533313751)","(44.92182159423828, 82.99752044677734, 551.3184204101562)",1,"(-219.4535675048828, 248.11480712890625, 9.100000381469727)","(0.1528453677892685, 0.33772969245910645)",1
19,1167658912205351,"(0.5118037462234497, 0.2348930835723877, 0.3896700143814087)","(-7.411824703216553, 82.42681121826172, 566.9010009765625)",1,"(-284.3612976074219, 251.9065399169922, 9.100000381469727)","(0.04958975687623024, 0.3270062804222107)",1,"(0.3645578622817993, 0.2274467498064041, 0.33933085203170776)","(46.35572052001953, 82.52511596679688, 551.7992553710938)",1,"(-223.2666473388672, 252.2943115234375, 9.100000381469727)","(0.14677949249744415, 0.3259096145629883)",1
20,1167658912264606,"(0.504147469997406, 0.2334214150905609, 0.3909570276737213)","(-4.532626152038574, 82.9286117553711, 567.287109375)",1,"(-94.176025390625, 404.59320068359375, 9.100000381469727)","(0.3521376848220825, -0.10480717569589615)",1,"(0.358254075050354, 0.2274312824010849, 0.34198954701423645)","(48.743526458740234, 82.65851593017578, 552.5968627929688)",1,"(-66.94905853271484, 374.7122802734375, 9.100000381469727)","(0.39545053243637085, -0.02030087821185589)",1
21,1167658912322716,"(0.5008403658866882, 0.2328358292579651, 0.39019307494163513)","(-3.284721851348877, 83.07191467285156, 567.0579223632812)",1,"(-67.10741424560547, 382.79052734375, 9.100000381469727)","(0.39519861340522766, -0.04314703866839409)",1,"(0.3536960482597351, 0.228206068277359, 0.3415246605873108)","(50.38872146606445, 82.42021942138672, 552.4573974609375)",1,"(-48.220829010009766, 375.3233337402344, 9.100000381469727)","(0.4252434968948364, -0.022029008716344833)",1
22,1167658912382211,"(0.49792858958244324, 0.232396200299263, 0.38898396492004395)","(-2.1863205432891846, 83.15161895751953, 566.6951904296875)",1,"(-69.56204986572266, 377.44085693359375, 9.100000381469727)","(0.3912937641143799, -0.028017621487379074)",1,"(0.350139319896698, 0.22856399416923523, 0.34134215116500854)","(51.67802047729492, 82.31340789794922, 552.4026489257812)",1,"(-47.672061920166016, 373.7049255371094, 9.100000381469727)","(0.4261164963245392, -0.01745203137397766)",1
23,1167658912440353,"(0.4954175353050232, 0.23193256556987762, 0.3876497447490692)","(-1.240621566772461, 83.23201751708984, 566.294921875)",1,"(-66.26873016357422, 381.61724853515625, 9.100000381469727)","(0.39653280377388, -0.03982887417078018)",1,"(0.34702634811401367, 0.22872062027454376, 0.3411460220813751)","(52.80442428588867, 82.26342010498047, 552.3438110351562)",1,"(-50.32903289794922, 362.03875732421875, 9.100000381469727)","(0.4218897521495819, 0.01554111298173666)",1
24,1167658912498320,"(0.49329668283462524, 0.2312445193529129, 0.38584473729133606)","(-0.44402995705604553, 83.35681915283203, 565.75341796875)",1,"(-62.341697692871094, 380.0195007324219, 9.100000381469727)","(0.4027799367904663, -0.03531026467680931)",1,"(0.34452521800994873, 0.22902332246303558, 0.34106120467185974)","(53.712528228759766, 82.17571258544922, 552.318359375)",1,"(-53.24676513671875, 365.6116027832031, 9.100000381469727)","(0.4172482192516327, 0.005436733830720186)",1
25,1167658912555390,"(0.49198397994041443, 0.23028844594955444, 0.38356608152389526)","(0.04612234979867935, 83.5378189086914, 565.06982421875)",1,"(-62.75349426269531, 369.15521240234375, 9.100000381469727)","(0.4021248519420624, -0.004584942478686571)",1,"(0.34283095598220825, 0.2291722446680069, 0.34079793095588684)","(54.31922149658203, 82.12301635742188, 552.2393798828125)",1,"(-57.10895919799805, 360.6480407714844, 9.100000381469727)","(0.4111042022705078, 0.019474225118756294)",1
26,1167658912611582,"(0.48869988322257996, 0.23059715330600739, 0.381914883852005)","(1.2774221897125244, 83.37701416015625, 564.574462890625)",1,"(65.58978271484375, 330.03472900390625, 9.100000381469727)","(0.6062941551208496, 0.10605181008577347)",1,"(0.34019026160240173, 0.23057645559310913, 0.34128132462501526)","(55.30342102050781, 81.74441528320312, 552.3843994140625)",1,"(69.00747680664062, 320.06341552734375, 9.100000381469727)","(0.6117310523986816, 0.1342516988515854)",1
27,1167658912667822,"(0.48927757143974304, 0.2299829125404358, 0.37921690940856934)","(1.0561310052871704, 83.43540954589844, 563.7650756835938)",1,"(102.61791229248047, 328.4504699707031, 9.100000381469727)","(0.6651987433433533, 0.11053222417831421)",1,"(0.33992624282836914, 0.230791836977005, 0.34085631370544434)","(55.38274002075195, 81.66361999511719, 552.2568969726562)",1,"(93.05404663085938, 312.2092590332031, 9.100000381469727)","(0.6499844789505005, 0.15646399557590485)",1
28,1167658912726691,"(0.4895937144756317, 0.23037301003932953, 0.37852397561073303)","(0.9380162358283997, 83.28933715820312, 563.5571899414062)",1,"(13.262028694152832, 326.2267150878906, 9.100000381469727)","(0.523050844669342, 0.11682126671075821)",1,"(0.34009018540382385, 0.2316204458475113, 0.34113648533821106)","(55.336517333984375, 81.43773651123047, 552.3409423828125)",1,"(21.347972869873047, 311.05401611328125, 9.100000381469727)","(0.5359140038490295, 0.1597311943769455)",1
29,1167658912764977,"(0.49058106541633606, 0.22997881472110748, 0.3776814639568329)","(0.5670177936553955, 83.36583709716797, 563.304443359375)",1,"(17.615869522094727, 320.893310546875, 9.100000381469727)","(0.5299769639968872, 0.13190460205078125)",1,"(0.3408653736114502, 0.23184654116630554, 0.3413122594356537)","(55.06191635131836, 81.37963104248047, 552.3936767578125)",1,"(26.676420211791992, 312.8466796875, 9.100000381469727)","(0.5443905591964722, 0.15466129779815674)",1
30,1167658912801141,"(0.49156615138053894, 0.22944529354572296, 0.3765804171562195)","(0.19691170752048492, 83.47152709960938, 562.97412109375)",1,"(18.512523651123047, 328.8909606933594, 9.100000381469727)","(0.5314033627510071, 0.10928646475076675)",1,"(0.3416667878627777, 0.23173214495182037, 0.3412003517150879)","(54.76521301269531, 81.40653228759766, 552.360107421875)",1,"(22.62423324584961, 317.6698913574219, 9.100000381469727)","(0.5379442572593689, 0.14102081954479218)",1
31,1167658912836062,"(0.4926741123199463, 0.2289315015077591, 0.3756487965583801)","(-0.21831342577934265, 83.5786361694336, 562.6946411132812)",1,"(19.528995513916016, 323.5898742675781, 9.100000381469727)","(0.5330203771591187, 0.1242784783244133)",1,"(0.342563271522522, 0.2315225899219513, 0.3405835032463074)","(54.41361618041992, 81.43793487548828, 552.175048828125)",1,"(24.498260498046875, 311.5786437988281, 9.100000381469727)","(0.5409255027770996, 0.1582474410533905)",1
32,1167658912872669,"(0.4942144453525543, 0.22906415164470673, 0.3738590478897095)","(-0.7927171587944031, 83.45693969726562, 562.15771484375)",1,"(5.0203166007995605, 254.18048095703125, 9.100000381469727)","(0.5099398493766785, 0.3205753564834595)",1,"(0.34468308091163635, 0.2318171262741089, 0.3396718204021454)","(53.60671615600586, 81.30973052978516, 551.9015502929688)",1,"(18.96783447265625, 255.68716430664062, 9.100000381469727)","(0.5321276783943176, 0.31631430983543396)",1
33,1167658912908758,"(0.49629753828048706, 0.22876116633415222, 0.37205973267555237)","(-1.5688141584396362, 83.46173095703125, 561.617919921875)",1,"(1.9694286584854126, 253.02696228027344, 9.100000381469727)","(0.5050864815711975, 0.32383763790130615)",1,"(0.34625065326690674, 0.23130731284618378, 0.3391090929508209)","(53.01331329345703, 81.42903900146484, 551.7327270507812)",1,"(15.970367431640625, 254.1836395263672, 9.100000381469727)","(0.5273592472076416, 0.3205663859844208)",1
34,1167658912945705,"(0.4984329044818878, 0.22864677011966705, 0.3705918490886688)","(-2.362210512161255, 83.42604064941406, 561.1775512695312)",1,"(3.3296024799346924, 247.58612060546875, 9.100000381469727)","(0.5072502493858337, 0.3392248749732971)",1,"(0.3480427861213684, 0.2308892011642456, 0.33826762437820435)","(52.32821273803711, 81.509033203125, 551.4802856445312)",1,"(16.944786071777344, 250.04432678222656, 9.100000381469727)","(0.5289093852043152, 0.33227279782295227)",1
