,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167707530068721,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167707530111282,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167707530153872,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167707530196524,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167707530239096,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167707530281700,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
6,1167707530304789,"(0.7177442312240601, 0.3139115869998932, 0.43117573857307434)","(-87.32643127441406, 60.20331954956055, 579.3527221679688)",1,"(-306.58758544921875, 271.32525634765625, 9.100000381469727)","(0.014231991022825241, 0.2720881700515747)",1,"(0.5810490846633911, 0.3026970326900482, 0.3800303041934967)","(-33.134124755859375, 62.04682159423828, 564.0090942382812)",1,"(-323.0712585449219, 293.63922119140625, 9.100000381469727)","(-0.01199029665440321, 0.20898199081420898)",1
7,1167707530333998,"(0.7168340086936951, 0.31396710872650146, 0.43125346302986145)","(-86.97772216796875, 60.19011306762695, 579.3760375976562)",1,"(-272.9725646972656, 246.54116821289062, 9.100000381469727)","(0.06770700216293335, 0.3421801030635834)",1,"(0.5801065564155579, 0.3032934069633484, 0.3798026442527771)","(-32.7745246887207, 61.865116119384766, 563.9407958984375)",1,"(-292.3634948730469, 255.0511474609375, 9.100000381469727)","(0.03685978427529335, 0.3181129992008209)",1
8,1167707530453615,"(0.7147732377052307, 0.3139894902706146, 0.42492127418518066)","(-85.80732727050781, 59.985511779785156, 577.4763793945312)",1,"(-269.27716064453125, 241.98690795898438, 9.100000381469727)","(0.07358568906784058, 0.35506004095077515)",1,"(0.5761063098907471, 0.3049044907093048, 0.37780049443244934)","(-31.229421615600586, 61.33021926879883, 563.3401489257812)",1,"(-286.0955810546875, 265.3555908203125, 9.100000381469727)","(0.04683082923293114, 0.288970947265625)",1
9,1167707530503052,"(0.7134625315666199, 0.313896119594574, 0.425027072429657)","(-85.30731964111328, 60.018619537353516, 577.5081176757812)",1,"(-265.6273193359375, 240.29476928710938, 9.100000381469727)","(0.07939185947179794, 0.3598455488681793)",1,"(0.5746335387229919, 0.3056187629699707, 0.3769148886203766)","(-30.65822410583496, 61.093116760253906, 563.074462890625)",1,"(-274.1120300292969, 252.80555725097656, 9.100000381469727)","(0.06589434295892715, 0.32446375489234924)",1
