,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167631080885201
1,"(nan, nan, nan)","(nan, nan, nan)",1167631081263724
2,"(nan, nan, nan)","(nan, nan, nan)",1167631081304107
3,"(nan, nan, nan)","(nan, nan, nan)",1167631081860256
4,"(nan, nan, nan)","(nan, nan, nan)",1167631082388206
5,"(nan, nan, nan)","(nan, nan, nan)",1167631082427553
6,"(nan, nan, nan)","(nan, nan, nan)",1167631082472521
7,"(nan, nan, nan)","(nan, nan, nan)",1167631082517509
8,"(nan, nan, nan)","(nan, nan, nan)",1167631082562485
9,"(nan, nan, nan)","(nan, nan, nan)",1167631082607432
10,"(nan, nan, nan)","(nan, nan, nan)",1167631082659425
11,"(nan, nan, nan)","(nan, nan, nan)",1167631082696531
12,"(nan, nan, nan)","(nan, nan, nan)",1167631082739389
13,"(nan, nan, nan)","(nan, nan, nan)",1167631082782279
14,"(nan, nan, nan)","(nan, nan, nan)",1167631082825164
15,"(nan, nan, nan)","(nan, nan, nan)",1167631082868082
16,"(nan, nan, nan)","(nan, nan, nan)",1167631082904665
17,"(nan, nan, nan)","(nan, nan, nan)",1167631082941620
18,"(nan, nan, nan)","(nan, nan, nan)",1167631083473165
19,"(nan, nan, nan)","(nan, nan, nan)",1167631083818300
20,"(nan, nan, nan)","(nan, nan, nan)",1167631083863274
21,"(nan, nan, nan)","(nan, nan, nan)",1167631083908257
22,"(nan, nan, nan)","(nan, nan, nan)",1167631083948553
23,"(nan, nan, nan)","(nan, nan, nan)",1167631083988922
24,"(nan, nan, nan)","(nan, nan, nan)",1167631084283051
25,"(nan, nan, nan)","(nan, nan, nan)",1167631084395393
26,"(nan, nan, nan)","(nan, nan, nan)",1167631085055449
27,"(nan, nan, nan)","(nan, nan, nan)",1167631085630147
28,"(nan, nan, nan)","(nan, nan, nan)",1167631085676600
29,"(nan, nan, nan)","(nan, nan, nan)",1167631085714128
30,"(nan, nan, nan)","(nan, nan, nan)",1167631085757476
31,"(nan, nan, nan)","(nan, nan, nan)",1167631085800770
32,"(nan, nan, nan)","(nan, nan, nan)",1167631085844068
33,"(nan, nan, nan)","(nan, nan, nan)",1167631085884367
34,"(nan, nan, nan)","(nan, nan, nan)",1167631085924759
35,"(nan, nan, nan)","(nan, nan, nan)",1167631086629233
36,"(nan, nan, nan)","(nan, nan, nan)",1167631086743582
37,"(nan, nan, nan)","(nan, nan, nan)",1167631086782789
38,"(nan, nan, nan)","(nan, nan, nan)",1167631086827838
39,"(nan, nan, nan)","(nan, nan, nan)",1167631086872884
40,"(nan, nan, nan)","(nan, nan, nan)",1167631086913235
41,"(nan, nan, nan)","(nan, nan, nan)",1167631086953609
42,"(nan, nan, nan)","(nan, nan, nan)",1167631087191793
43,"(nan, nan, nan)","(nan, nan, nan)",1167631087349997
44,"(nan, nan, nan)","(nan, nan, nan)",1167631087712831
45,"(nan, nan, nan)","(nan, nan, nan)",1167631088238853
46,"(nan, nan, nan)","(nan, nan, nan)",1167631088295890
47,"(nan, nan, nan)","(nan, nan, nan)",1167631088333953
48,"(nan, nan, nan)","(nan, nan, nan)",1167631088377794
49,"(nan, nan, nan)","(nan, nan, nan)",1167631088421620
50,"(nan, nan, nan)","(nan, nan, nan)",1167631088465333
51,"(nan, nan, nan)","(nan, nan, nan)",1167631088503844
52,"(nan, nan, nan)","(nan, nan, nan)",1167631088542364
53,"(nan, nan, nan)","(nan, nan, nan)",1167631088803002
54,"(nan, nan, nan)","(nan, nan, nan)",1167631088931543
55,"(nan, nan, nan)","(nan, nan, nan)",1167631089252927
56,"(nan, nan, nan)","(nan, nan, nan)",1167631089892391
57,"(nan, nan, nan)","(nan, nan, nan)",1167631089931623
58,"(nan, nan, nan)","(nan, nan, nan)",1167631089976573
59,"(nan, nan, nan)","(nan, nan, nan)",1167631090021541
60,"(nan, nan, nan)","(nan, nan, nan)",1167631090066470
61,"(nan, nan, nan)","(nan, nan, nan)",1167631090116508
62,"(nan, nan, nan)","(nan, nan, nan)",1167631090156840
63,"(nan, nan, nan)","(nan, nan, nan)",1167631090578501
64,"(nan, nan, nan)","(nan, nan, nan)",1167631091047832
65,"(nan, nan, nan)","(nan, nan, nan)",1167631091086346
66,"(nan, nan, nan)","(nan, nan, nan)",1167631091130563
67,"(nan, nan, nan)","(nan, nan, nan)",1167631091174751
68,"(nan, nan, nan)","(nan, nan, nan)",1167631091218928
69,"(nan, nan, nan)","(nan, nan, nan)",1167631091263129
