,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167631260935822
1,"(-226.61441040039062, 310.5726623535156, 9.100000381469727)","(-248.43048095703125, 323.31988525390625, 9.100000381469727)",1167631261336058
2,"(nan, nan, nan)","(-255.8025360107422, 326.78302001953125, 9.100000381469727)",1167631261364477
3,"(nan, nan, nan)","(nan, nan, nan)",1167631261396125
4,"(-224.4476776123047, 303.3767395019531, 9.100000381469727)","(-253.98817443847656, 329.0295715332031, 9.100000381469727)",1167631261458418
5,"(-233.9939727783203, 317.913330078125, 9.100000381469727)","(-256.9847106933594, 348.32000732421875, 9.100000381469727)",1167631261479522
6,"(-235.22320556640625, 319.45233154296875, 9.100000381469727)","(-256.6745300292969, 349.33660888671875, 9.100000381469727)",1167631261514852
7,"(-232.97218322753906, 319.3966369628906, 9.100000381469727)","(-256.5037841796875, 349.3572082519531, 9.100000381469727)",1167631261547121
8,"(-234.0188446044922, 316.9087219238281, 9.100000381469727)","(-252.89122009277344, 344.97149658203125, 9.100000381469727)",1167631261578848
9,"(-234.90708923339844, 320.36334228515625, 9.100000381469727)","(-256.5922546386719, 349.80633544921875, 9.100000381469727)",1167631261611122
10,"(-237.03038024902344, 320.5453796386719, 9.100000381469727)","(-259.5030822753906, 353.124267578125, 9.100000381469727)",1167631261644965
11,"(-235.14895629882812, 320.4459533691406, 9.100000381469727)","(-261.5873718261719, 355.3080749511719, 9.100000381469727)",1167631261677378
12,"(-235.04486083984375, 321.6051025390625, 9.100000381469727)","(-262.6227722167969, 356.5203552246094, 9.100000381469727)",1167631261709958
13,"(-234.15814208984375, 321.7037658691406, 9.100000381469727)","(-261.8332214355469, 357.6790466308594, 9.100000381469727)",1167631261743079
14,"(-236.28843688964844, 321.1973876953125, 9.100000381469727)","(-264.48712158203125, 356.0237121582031, 9.100000381469727)",1167631261775089
15,"(-231.50247192382812, 322.3961486816406, 9.100000381469727)","(-263.2576599121094, 358.52825927734375, 9.100000381469727)",1167631261807492
16,"(-234.34146118164062, 322.6020812988281, 9.100000381469727)","(-264.4595031738281, 360.4552917480469, 9.100000381469727)",1167631261840179
