,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167631140898494
1,"(-171.38063049316406, 217.48318481445312, 9.100000381469727)","(-186.31764221191406, 216.3155975341797, 9.100000381469727)",1167631141285760
2,"(-154.44500732421875, 208.0208740234375, 9.100000381469727)","(-169.32041931152344, 208.37237548828125, 9.100000381469727)",1167631141315160
3,"(nan, nan, nan)","(nan, nan, nan)",1167631141382457
4,"(-142.78370666503906, 201.67449951171875, 9.100000381469727)","(-155.9678497314453, 205.21229553222656, 9.100000381469727)",1167631141426124
5,"(-142.4842987060547, 204.4697723388672, 9.100000381469727)","(-156.92294311523438, 207.63473510742188, 9.100000381469727)",1167631141450986
6,"(-128.28138732910156, 198.48744201660156, 9.100000381469727)","(-140.66098022460938, 195.85986328125, 9.100000381469727)",1167631141486144
7,"(-128.6619415283203, 198.8803253173828, 9.100000381469727)","(-142.44760131835938, 197.1709442138672, 9.100000381469727)",1167631141515981
8,"(-128.7034912109375, 200.17161560058594, 9.100000381469727)","(-143.29156494140625, 199.14268493652344, 9.100000381469727)",1167631141545850
9,"(-128.26194763183594, 202.9139862060547, 9.100000381469727)","(-142.558837890625, 198.21778869628906, 9.100000381469727)",1167631141575860
10,"(-128.0141143798828, 200.65576171875, 9.100000381469727)","(-141.4853973388672, 198.20440673828125, 9.100000381469727)",1167631141606467
11,"(-127.6240234375, 197.64674377441406, 9.100000381469727)","(-142.5753936767578, 194.45933532714844, 9.100000381469727)",1167631141637598
12,"(-116.2699203491211, 198.7655029296875, 9.100000381469727)","(-130.85549926757812, 199.03167724609375, 9.100000381469727)",1167631141667222
13,"(-118.40697479248047, 200.934814453125, 9.100000381469727)","(-135.32308959960938, 197.0337371826172, 9.100000381469727)",1167631141697486
14,"(-117.35587310791016, 201.5100555419922, 9.100000381469727)","(-133.5797882080078, 199.50889587402344, 9.100000381469727)",1167631141728704
15,"(-118.29170227050781, 201.86468505859375, 9.100000381469727)","(-132.69415283203125, 200.20213317871094, 9.100000381469727)",1167631141760872
16,"(-119.0229721069336, 203.54335021972656, 9.100000381469727)","(-132.22525024414062, 199.5411376953125, 9.100000381469727)",1167631141792830
