,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167707636800828,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167707636843478,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167707636886047,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167707636928693,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167707636971203,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167707637012441,"(0.6498425006866455, 0.33618223667144775, 0.5512404441833496)","(-65.0179214477539, 52.28432083129883, 615.3721313476562)",1,"(-123.82569122314453, 582.4326171875, 9.100000381469727)","(0.30497080087661743, -0.6077552437782288)",1,"(0.5179256200790405, 0.3355786204338074, 0.5208188891410828)","(-10.036110877990723, 52.15782165527344, 606.2456665039062)",1,"(-115.76531982421875, 588.593994140625, 9.100000381469727)","(0.3177932798862457, -0.6251803040504456)",1
6,1167707637052852,"(0.6497721076011658, 0.336001992225647, 0.550408124923706)","(-64.96971893310547, 52.31761932373047, 615.1224365234375)",1,"(-116.0085220336914, 566.525146484375, 9.100000381469727)","(0.31740641593933105, -0.5627673268318176)",1,"(0.5177195072174072, 0.3355370759963989, 0.5205381512641907)","(-9.950215339660645, 52.16362762451172, 606.1614379882812)",1,"(-105.13160705566406, 561.715576171875, 9.100000381469727)","(0.3347094655036926, -0.5491653084754944)",1
7,1167707637111623,"(0.6500877737998962, 0.3357747197151184, 0.5498529076576233)","(-65.0885238647461, 52.37091827392578, 614.9558715820312)",1,"(-64.4072036743164, 544.5311279296875, 9.100000381469727)","(0.39949411153793335, -0.5005660057067871)",1,"(0.5176804065704346, 0.33566486835479736, 0.5205572247505188)","(-9.934021949768066, 52.12611389160156, 606.1671752929688)",1,"(-71.0814208984375, 561.524658203125, 9.100000381469727)","(0.388876736164093, -0.5486253499984741)",1
8,1167707637163746,"(0.6499522924423218, 0.3356143534183502, 0.549558699131012)","(-65.02572631835938, 52.41241455078125, 614.8676147460938)",1,"(-64.65286254882812, 545.1113891601562, 9.100000381469727)","(0.3991033136844635, -0.5022071003913879)",1,"(0.5174862742424011, 0.3356223404407501, 0.5209208130836487)","(-9.855725288391113, 52.14901351928711, 606.2762451171875)",1,"(-65.78380584716797, 561.1767578125, 9.100000381469727)","(0.3973042070865631, -0.5476415753364563)",1
9,1167707637213795,"(0.6490287780761719, 0.3358065187931061, 0.5498484373092651)","(-64.64822387695312, 52.36511993408203, 614.9545288085938)",1,"(-46.094573974609375, 519.440673828125, 9.100000381469727)","(0.4286259710788727, -0.4296075701713562)",1,"(0.5167401432991028, 0.3359234929084778, 0.5203385353088379)","(-9.546024322509766, 52.0465202331543, 606.1015625)",1,"(-37.47767639160156, 516.0836791992188, 9.100000381469727)","(0.44233378767967224, -0.4201137125492096)",1
10,1167707637262164,"(0.6465913653373718, 0.336069792509079, 0.5247682929039001)","(-63.06492233276367, 51.64401626586914, 607.4304809570312)",1,"(-67.85559844970703, 500.91131591796875, 9.100000381469727)","(0.3940083980560303, -0.37720468640327454)",1,"(0.5162023305892944, 0.33597421646118164, 0.5206754803657532)","(-9.325929641723633, 52.04220962524414, 606.20263671875)",1,"(-33.471309661865234, 521.6137084960938, 9.100000381469727)","(0.44870713353157043, -0.43575313687324524)",1
11,1167707637311935,"(0.6482818126678467, 0.3352952301502228, 0.5478155612945557)","(-64.29203033447266, 52.469818115234375, 614.3446655273438)",1,"(-31.09615135192871, 516.0370483398438, 9.100000381469727)","(0.4524855613708496, -0.4199817478656769)",1,"(0.5156157612800598, 0.3359394967556, 0.5204364061355591)","(-9.08372688293457, 52.04841613769531, 606.1309204101562)",1,"(-32.41255187988281, 513.3923950195312, 9.100000381469727)","(0.45039141178131104, -0.41250237822532654)",1
12,1167707637361733,"(0.6477425694465637, 0.3352748155593872, 0.5484125018119812)","(-64.08172607421875, 52.49361038208008, 614.5237426757812)",1,"(-41.49763107299805, 538.1228637695312, 9.100000381469727)","(0.4359388053417206, -0.48244279623031616)",1,"(0.5149874091148376, 0.3362460434436798, 0.5200903415679932)","(-8.823628425598145, 51.95021438598633, 606.027099609375)",1,"(-33.96556091308594, 526.2755126953125, 9.100000381469727)","(0.44792088866233826, -0.44893717765808105)",1
13,1167707637410322,"(0.6472229957580566, 0.33526235818862915, 0.5475313067436218)","(-63.845821380615234, 52.476318359375, 614.2593994140625)",1,"(-34.67621994018555, 533.584228515625, 9.100000381469727)","(0.4467903673648834, -0.46960708498954773)",1,"(0.5145061016082764, 0.3365728557109833, 0.5208526849746704)","(-8.627728462219238, 51.87431335449219, 606.2557983398438)",1,"(-28.90555763244629, 525.7864990234375, 9.100000381469727)","(0.4559703767299652, -0.44755423069000244)",1
14,1167707637457862,"(0.6466594934463501, 0.3351823687553406, 0.5470176339149475)","(-63.60022735595703, 52.489219665527344, 614.1052856445312)",1,"(-28.023101806640625, 535.13671875, 9.100000381469727)","(0.4573741853237152, -0.47399771213531494)",1,"(0.5138675570487976, 0.3368048369884491, 0.5210148096084595)","(-8.365227699279785, 51.81161117553711, 606.304443359375)",1,"(-27.28746795654297, 524.6262817382812, 9.100000381469727)","(0.45854443311691284, -0.4442729949951172)",1
15,1167707637505573,"(0.6450523138046265, 0.3347774147987366, 0.5480586886405945)","(-62.957027435302734, 52.64491271972656, 614.4176025390625)",1,"(16.122377395629883, 577.0048217773438, 9.100000381469727)","(0.5276010632514954, -0.592404842376709)",1,"(0.5126171708106995, 0.33702871203422546, 0.5211224555969238)","(-7.85072660446167, 51.752113342285156, 606.3367309570312)",1,"(-22.859188079833984, 577.2366943359375, 9.100000381469727)","(0.4655889570713043, -0.5930606722831726)",1
16,1167707637553230,"(0.6441237926483154, 0.33428800106048584, 0.5459745526313782)","(-62.52562713623047, 52.741912841796875, 613.7923583984375)",1,"(21.12885856628418, 567.5498046875, 9.100000381469727)","(0.5355654358863831, -0.5656652450561523)",1,"(0.5114324688911438, 0.33708202838897705, 0.5212962031364441)","(-7.3637237548828125, 51.74501419067383, 606.3888549804688)",1,"(-25.380836486816406, 564.1524047851562, 9.100000381469727)","(0.46157750487327576, -0.5560570359230042)",1
17,1167707637591884,"(0.6431868076324463, 0.3338978886604309, 0.5455350875854492)","(-62.12772750854492, 52.85181427001953, 613.6605224609375)",1,"(14.822281837463379, 573.310791015625, 9.100000381469727)","(0.5255329012870789, -0.5819578766822815)",1,"(0.5103998184204102, 0.33709052205085754, 0.5215222239494324)","(-6.9394211769104, 51.75211715698242, 606.4566650390625)",1,"(-26.5866756439209, 584.7942504882812, 9.100000381469727)","(0.45965924859046936, -0.6144343018531799)",1
18,1167707637630671,"(0.6422768235206604, 0.3335207402706146, 0.5459792017936707)","(-61.76052474975586, 52.98091506958008, 613.7937622070312)",1,"(14.75800895690918, 584.7747192382812, 9.100000381469727)","(0.5254306197166443, -0.6143789291381836)",1,"(0.5093943476676941, 0.3372371196746826, 0.5218278169631958)","(-6.526227951049805, 51.71991729736328, 606.54833984375)",1,"(-24.419645309448242, 580.96728515625, 9.100000381469727)","(0.46310657262802124, -0.6036111116409302)",1
19,1167707637669537,"(0.6414810419082642, 0.333263635635376, 0.5452622771263123)","(-61.41492462158203, 53.04271697998047, 613.5786743164062)",1,"(23.617841720581055, 553.9622192382812, 9.100000381469727)","(0.5395249128341675, -0.5272380709648132)",1,"(0.5084657669067383, 0.3373951315879822, 0.5218161940574646)","(-6.143722057342529, 51.675811767578125, 606.5448608398438)",1,"(13.096271514892578, 564.4579467773438, 9.100000381469727)","(0.5227871537208557, -0.556921124458313)",1
20,1167707637715231,"(0.6406291723251343, 0.33317115902900696, 0.5457409620285034)","(-61.072025299072266, 53.08641052246094, 613.7222900390625)",1,"(21.3428955078125, 563.6618041992188, 9.100000381469727)","(0.5359058976173401, -0.5546695590019226)",1,"(0.5075448155403137, 0.3377056419849396, 0.5215580463409424)","(-5.763622760772705, 51.5797119140625, 606.4674072265625)",1,"(14.133312225341797, 586.4771728515625, 9.100000381469727)","(0.524436891078949, -0.6191936731338501)",1
21,1167707637763684,"(0.6397210359573364, 0.33261314034461975, 0.5445173978805542)","(-60.66952896118164, 53.226112365722656, 613.355224609375)",1,"(20.709989547729492, 571.544189453125, 9.100000381469727)","(0.534899115562439, -0.5769616961479187)",1,"(0.506549060344696, 0.3375433087348938, 0.5222930908203125)","(-5.3557281494140625, 51.65091323852539, 606.6879272460938)",1,"(17.188016891479492, 582.1376342773438, 9.100000381469727)","(0.529296338558197, -0.6069209575653076)",1
22,1167707637811145,"(0.6386979818344116, 0.3319184482097626, 0.5443233251571655)","(-60.24222946166992, 53.43471908569336, 613.2969970703125)",1,"(18.766002655029297, 576.1576538085938, 9.100000381469727)","(0.5318065881729126, -0.5900090932846069)",1,"(0.5054004788398743, 0.33735376596450806, 0.522779107093811)","(-4.884326934814453, 51.72441482543945, 606.833740234375)",1,"(11.213390350341797, 575.4747924804688, 9.100000381469727)","(0.519791841506958, -0.5880779027938843)",1
23,1167707637857816,"(0.6377437710762024, 0.3315933644771576, 0.5437528491020203)","(-59.83472442626953, 53.52121353149414, 613.1258544921875)",1,"(26.601383209228516, 563.3939819335938, 9.100000381469727)","(0.5442711710929871, -0.5539121031761169)",1,"(0.5042979717254639, 0.33762550354003906, 0.5227229595184326)","(-4.4298248291015625, 51.64581298828125, 606.81689453125)",1,"(12.456302642822266, 581.562255859375, 9.100000381469727)","(0.5217690467834473, -0.605293869972229)",1
24,1167707637904837,"(0.6367117762565613, 0.3315570056438446, 0.5437623858451843)","(-59.40692901611328, 53.53631591796875, 613.1287231445312)",1,"(17.711084365844727, 571.6729125976562, 9.100000381469727)","(0.5301284193992615, -0.5773257613182068)",1,"(0.5032013654708862, 0.3380507230758667, 0.5234236717224121)","(-3.9790282249450684, 51.54081344604492, 607.027099609375)",1,"(8.197174072265625, 585.9717407226562, 9.100000381469727)","(0.5149936079978943, -0.6177643537521362)",1
