,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167630661022132
1,"(nan, nan, nan)","(nan, nan, nan)",1167630661396476
2,"(nan, nan, nan)","(nan, nan, nan)",1167630661441818
3,"(nan, nan, nan)","(nan, nan, nan)",1167630661487148
4,"(-356.6184997558594, 421.7850341796875, 9.100000381469727)","(-237.15313720703125, 291.2657470703125, 9.100000381469727)",1167630661533521
5,"(-226.05160522460938, 271.94415283203125, 9.100000381469727)","(-237.88136291503906, 289.9207458496094, 9.100000381469727)",1167630661574451
6,"(-227.3062744140625, 274.7297668457031, 9.100000381469727)","(-231.56752014160156, 286.17510986328125, 9.100000381469727)",1167630661667099
7,"(-216.03236389160156, 269.3686218261719, 9.100000381469727)","(-237.94239807128906, 277.326904296875, 9.100000381469727)",1167630661718995
8,"(-219.66737365722656, 267.3521423339844, 9.100000381469727)","(-237.3339385986328, 281.81219482421875, 9.100000381469727)",1167630661769127
9,"(-222.32432556152344, 271.930419921875, 9.100000381469727)","(-239.33932495117188, 279.2996520996094, 9.100000381469727)",1167630661819747
10,"(-220.6741943359375, 271.1895446777344, 9.100000381469727)","(-241.42481994628906, 279.9151916503906, 9.100000381469727)",1167630661866751
11,"(-188.65673828125, 267.0426025390625, 9.100000381469727)","(-237.12171936035156, 278.85101318359375, 9.100000381469727)",1167630661913099
12,"(-184.0759735107422, 257.6473083496094, 9.100000381469727)","(-205.01181030273438, 269.2153625488281, 9.100000381469727)",1167630661959802
13,"(-187.71629333496094, 257.53155517578125, 9.100000381469727)","(-204.62872314453125, 269.0226135253906, 9.100000381469727)",1167630662009157
14,"(-182.619873046875, 258.5306396484375, 9.100000381469727)","(-204.78672790527344, 271.2942810058594, 9.100000381469727)",1167630662042647
15,"(-184.42959594726562, 255.5503692626953, 9.100000381469727)","(-203.67909240722656, 270.4778747558594, 9.100000381469727)",1167630662074859
16,"(-187.24501037597656, 256.4537353515625, 9.100000381469727)","(-206.10943603515625, 271.6553039550781, 9.100000381469727)",1167630662107387
17,"(-184.6552276611328, 256.3795471191406, 9.100000381469727)","(-203.91409301757812, 267.8197937011719, 9.100000381469727)",1167630662140945
18,"(-186.83493041992188, 255.6321258544922, 9.100000381469727)","(-203.83448791503906, 268.68902587890625, 9.100000381469727)",1167630662173617
19,"(-185.66136169433594, 257.5782165527344, 9.100000381469727)","(-203.68162536621094, 268.1410827636719, 9.100000381469727)",1167630662206913
20,"(-186.3394012451172, 257.28094482421875, 9.100000381469727)","(-203.25567626953125, 270.2494201660156, 9.100000381469727)",1167630662239897
21,"(nan, nan, nan)","(nan, nan, nan)",1167630662272212
22,"(nan, nan, nan)","(-92.52664947509766, 30.95354652404785, 9.100000381469727)",1167630662305771
23,"(nan, nan, nan)","(nan, nan, nan)",1167630662335142
24,"(nan, nan, nan)","(-209.47872924804688, 203.0567626953125, 9.100000381469727)",1167630662368370
25,"(-187.4970245361328, 222.8025665283203, 9.100000381469727)","(-208.1658935546875, 241.84771728515625, 9.100000381469727)",1167630662394178
26,"(-186.75575256347656, 242.18052673339844, 9.100000381469727)","(-204.57154846191406, 267.0136413574219, 9.100000381469727)",1167630662421096
27,"(-184.5216064453125, 251.93624877929688, 9.100000381469727)","(-204.93313598632812, 265.697998046875, 9.100000381469727)",1167630662452928
28,"(-185.99217224121094, 253.4293670654297, 9.100000381469727)","(-202.98683166503906, 268.2450866699219, 9.100000381469727)",1167630662486451
29,"(-186.91818237304688, 257.8851013183594, 9.100000381469727)","(-204.427734375, 264.4202880859375, 9.100000381469727)",1167630662519143
30,"(-185.271240234375, 254.1867218017578, 9.100000381469727)","(-202.22352600097656, 269.93853759765625, 9.100000381469727)",1167630662552925
31,"(-185.3717803955078, 253.180908203125, 9.100000381469727)","(-202.8907012939453, 268.5011291503906, 9.100000381469727)",1167630662586705
32,"(-185.86537170410156, 255.98431396484375, 9.100000381469727)","(-203.9484100341797, 268.47479248046875, 9.100000381469727)",1167630662620472
33,"(-186.56179809570312, 256.0740661621094, 9.100000381469727)","(-201.24740600585938, 270.3309020996094, 9.100000381469727)",1167630662654107
34,"(-185.09783935546875, 253.80406188964844, 9.100000381469727)","(-198.616455078125, 271.5677795410156, 9.100000381469727)",1167630662687479
35,"(-213.1981964111328, 278.1454772949219, 9.100000381469727)","(-226.9303436279297, 291.85614013671875, 9.100000381469727)",1167630662719980
36,"(-230.07260131835938, 292.34295654296875, 9.100000381469727)","(-267.84033203125, 342.5838928222656, 9.100000381469727)",1167630662753157
37,"(-229.78538513183594, 296.8672180175781, 9.100000381469727)","(-267.56903076171875, 344.3802490234375, 9.100000381469727)",1167630662787311
38,"(nan, nan, nan)","(-266.8986511230469, 349.86566162109375, 9.100000381469727)",1167630662820826
39,"(nan, nan, nan)","(-268.9953308105469, 345.1207580566406, 9.100000381469727)",1167630662852397
40,"(nan, nan, nan)","(-268.5133056640625, 349.4106140136719, 9.100000381469727)",1167630662885781
41,"(nan, nan, nan)","(-269.155517578125, 347.078125, 9.100000381469727)",1167630662919669
42,"(-275.0372619628906, 321.2904968261719, 9.100000381469727)","(nan, nan, nan)",1167630662953637
43,"(nan, nan, nan)","(-297.90484619140625, 362.8312683105469, 9.100000381469727)",1167630662988499
44,"(-279.6986389160156, 323.099609375, 9.100000381469727)","(-302.5107116699219, 365.8620910644531, 9.100000381469727)",1167630663016256
45,"(nan, nan, nan)","(-302.339599609375, 366.8576354980469, 9.100000381469727)",1167630663054768
46,"(-212.15866088867188, 281.0241394042969, 9.100000381469727)","(-222.02061462402344, 294.4884033203125, 9.100000381469727)",1167630663091371
47,"(-189.0641326904297, 263.848388671875, 9.100000381469727)","(-202.44602966308594, 272.7117919921875, 9.100000381469727)",1167630663126589
48,"(-190.896240234375, 259.77777099609375, 9.100000381469727)","(-202.2403106689453, 276.73638916015625, 9.100000381469727)",1167630663157468
49,"(-186.3782501220703, 258.7388000488281, 9.100000381469727)","(-200.27467346191406, 276.7261962890625, 9.100000381469727)",1167630663191596
50,"(-186.844482421875, 258.18572998046875, 9.100000381469727)","(-201.7498016357422, 278.1037292480469, 9.100000381469727)",1167630663223921
51,"(-185.784423828125, 259.72607421875, 9.100000381469727)","(-201.02000427246094, 276.5279541015625, 9.100000381469727)",1167630663255880
52,"(-185.48782348632812, 261.4070739746094, 9.100000381469727)","(-201.377685546875, 275.89215087890625, 9.100000381469727)",1167630663287872
53,"(-188.179931640625, 260.5614013671875, 9.100000381469727)","(-204.68861389160156, 276.9908142089844, 9.100000381469727)",1167630663319831
54,"(-187.5290985107422, 259.67340087890625, 9.100000381469727)","(-199.7698974609375, 275.8055725097656, 9.100000381469727)",1167630663352821
55,"(-187.67092895507812, 261.4609069824219, 9.100000381469727)","(-196.51473999023438, 275.74041748046875, 9.100000381469727)",1167630663387162
56,"(-189.08233642578125, 261.2658996582031, 9.100000381469727)","(-200.81829833984375, 271.6437683105469, 9.100000381469727)",1167630663420804
57,"(-183.83721923828125, 251.78985595703125, 9.100000381469727)","(-195.1400909423828, 264.5884094238281, 9.100000381469727)",1167630663454127
58,"(-153.1884307861328, 216.7588653564453, 9.100000381469727)","(-162.78150939941406, 221.93983459472656, 9.100000381469727)",1167630663487889
59,"(nan, nan, nan)","(-144.72486877441406, 104.6230239868164, 9.100000381469727)",1167630663520829
60,"(nan, nan, nan)","(nan, nan, nan)",1167630663553923
61,"(-83.81132507324219, 19.486865997314453, 9.100000381469727)","(-97.1374740600586, -6.424546718597412, 9.100000381469727)",1167630663581405
62,"(-69.2866439819336, -3.6807713508605957, 9.100000381469727)","(nan, nan, nan)",1167630663607701
63,"(nan, nan, nan)","(nan, nan, nan)",1167630663642966
64,"(nan, nan, nan)","(nan, nan, nan)",1167630663676202
65,"(nan, nan, nan)","(nan, nan, nan)",1167630663703942
66,"(nan, nan, nan)","(nan, nan, nan)",1167630663737069
67,"(nan, nan, nan)","(nan, nan, nan)",1167630663791754
68,"(nan, nan, nan)","(nan, nan, nan)",1167630663874078
