,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167707321335146,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167707321372070,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167707321414697,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167707321457288,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167707321499888,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167707321542487,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
6,1167707321565775,"(0.6633021235466003, 0.3845796585083008, 0.6979469656944275)","(-74.20091247558594, 40.277225494384766, 659.3840942382812)",1,"(-410.95501708984375, 554.0964965820312, 9.100000381469727)","(-0.1517963707447052, -0.527617871761322)",1,"(0.539269208908081, 0.3732386529445648, 0.6397829055786133)","(-19.60161018371582, 43.25562286376953, 641.9348754882812)",1,"(-372.4679870605469, 383.9251708984375, 9.100000381469727)","(-0.09057093411684036, -0.04635588452219963)",1
7,1167707321594815,"(0.6637136340141296, 0.3842155337333679, 0.6765403151512146)","(-73.8431167602539, 39.993324279785156, 652.9620971679688)",1,"(-341.0851135253906, 270.79107666015625, 9.100000381469727)","(-0.04064686596393585, 0.27359890937805176)",1,"(0.5394522547721863, 0.3739039897918701, 0.638702392578125)","(-19.671218872070312, 43.0223274230957, 641.6107177734375)",1,"(-315.0456848144531, 268.4141540527344, 9.100000381469727)","(0.0007768173236399889, 0.2803210914134979)",1
8,1167707321819432,"(0.6616227626800537, 0.3796762228012085, 0.6779868602752686)","(-72.9813232421875, 41.490718841552734, 653.3960571289062)",1,"(-336.1078186035156, 225.8267364501953, 9.100000381469727)","(-0.032728977501392365, 0.4007626473903656)",1,"(0.5371767282485962, 0.37297916412353516, 0.6363527178764343)","(-18.681926727294922, 43.2750129699707, 640.9058227539062)",1,"(-297.11187744140625, 249.4498748779297, 9.100000381469727)","(0.02930603176355362, 0.33395397663116455)",1
9,1167707321874176,"(0.6596862077713013, 0.3800085783004761, 0.676912248134613)","(-72.113525390625, 41.370418548583984, 653.0736694335938)",1,"(-344.64349365234375, 227.76620483398438, 9.100000381469727)","(-0.04630754888057709, 0.39527758955955505)",1,"(0.5349284410476685, 0.37385034561157227, 0.6360803246498108)","(-17.716129302978516, 43.00291061401367, 640.8240966796875)",1,"(-272.3388977050781, 207.0522918701172, 9.100000381469727)","(0.06871505826711655, 0.45385870337486267)",1
