,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167649653296656,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167649653339789,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167649653376904,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167649653419872,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167649653462818,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167649653505740,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
6,1167649653539706,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
7,1167649653580521,"(0.7165528535842896, 0.5054976344108582, 0.641452431678772)","(-95.34521484375, 0.6915281414985657, 642.4357299804688)",1,"(-143.95025634765625, 144.58738708496094, 9.100000381469727)","(0.272956520318985, 0.6305158138275146)",1,"(0.5872755646705627, 0.509682834148407, 0.6616389751434326)","(-40.2341194152832, -0.1347287893295288, 648.49169921875)",1,"(-140.2209014892578, 189.44036865234375, 9.100000381469727)","(0.2788892090320587, 0.5036669969558716)",1
8,1167649653705772,"(0.7164846658706665, 0.5053655505180359, 0.6414880156517029)","(-95.31742858886719, 0.7336128950119019, 642.4464111328125)",1,"(-99.4723129272461, 142.52198791503906, 9.100000381469727)","(0.34371232986450195, 0.6363570094108582)",1,"(0.5866804718971252, 0.5096575021743774, 0.6614620089530945)","(-39.97502517700195, -0.12441360950469971, 648.4385986328125)",1,"(-112.01193237304688, 166.30123901367188, 9.100000381469727)","(0.32376420497894287, 0.5691068172454834)",1
9,1167649653765093,"(0.7128952741622925, 0.505227267742157, 0.6417429447174072)","(-93.78812408447266, 0.7913109064102173, 642.5228881835938)",1,"(75.75084686279297, 127.14713287353516, 9.100000381469727)","(0.6224584579467773, 0.6798386573791504)",1,"(0.583901047706604, 0.5102606415748596, 0.6630991697311401)","(-38.797122955322266, -0.30631741881370544, 648.9297485351562)",1,"(99.50173950195312, 156.01080322265625, 9.100000381469727)","(0.6602415442466736, 0.5982092618942261)",1
10,1167649653850509,"(0.7125506401062012, 0.50517737865448, 0.6411496996879578)","(-93.62162780761719, 0.8081139326095581, 642.3449096679688)",1,"(77.27961730957031, 132.91360473632812, 9.100000381469727)","(0.6248904466629028, 0.6635304689407349)",1,"(0.5829086303710938, 0.5104755759239197, 0.662987470626831)","(-38.36692810058594, -0.3712119460105896, 648.896240234375)",1,"(83.36787414550781, 139.23561096191406, 9.100000381469727)","(0.6345756649971008, 0.6456512212753296)",1
11,1167649653905657,"(0.7121878266334534, 0.5049654245376587, 0.6411779522895813)","(-93.467529296875, 0.8766168355941772, 642.3533935546875)",1,"(77.96961212158203, 131.76197814941406, 9.100000381469727)","(0.6259880661964417, 0.6667873859405518)",1,"(0.582439124584198, 0.510408878326416, 0.6632068157196045)","(-38.167423248291016, -0.34801748394966125, 648.9620361328125)",1,"(83.24437713623047, 136.41796875, 9.100000381469727)","(0.6343792080879211, 0.6536197662353516)",1
12,1167649653958224,"(0.711934506893158, 0.5046961903572083, 0.6406628489494324)","(-93.34313201904297, 0.9625163674354553, 642.1988525390625)",1,"(71.7207260131836, 133.16964721679688, 9.100000381469727)","(0.6160473227500916, 0.6628063917160034)",1,"(0.5821403861045837, 0.5103257894515991, 0.6632375121116638)","(-38.039024353027344, -0.32031556963920593, 648.9712524414062)",1,"(80.11809539794922, 124.36721801757812, 9.100000381469727)","(0.6294059157371521, 0.6877005100250244)",1
13,1167649654010989,"(0.7110258340835571, 0.5022917985916138, 0.6431835889816284)","(-93.03972625732422, 1.7298129796981812, 642.955078125)",1,"(99.96531677246094, 352.31256103515625, 9.100000381469727)","(0.6609789729118347, 0.04304780438542366)",1,"(0.5825400948524475, 0.5078818202018738, 0.6653963327407837)","(-38.24462127685547, 0.4607158601284027, 649.618896484375)",1,"(123.53611755371094, 357.5296936035156, 9.100000381469727)","(0.6984755396842957, 0.02829316072165966)",1
14,1167649654064099,"(0.7115586400032043, 0.5018773674964905, 0.6438899636268616)","(-93.2917251586914, 1.8599135875701904, 643.1669921875)",1,"(104.69576263427734, 483.31805419921875, 9.100000381469727)","(0.6685041785240173, -0.32744917273521423)",1,"(0.5824546217918396, 0.5074785351753235, 0.6642102003097534)","(-38.19272232055664, 0.5896143913269043, 649.2630615234375)",1,"(123.99760437011719, 394.9084167480469, 9.100000381469727)","(0.6992096900939941, -0.07741767168045044)",1
15,1167649654117144,"(0.7115920782089233, 0.5019922256469727, 0.6430889964103699)","(-93.28011322021484, 1.8225253820419312, 642.9266967773438)",1,"(62.37605667114258, 425.85186767578125, 9.100000381469727)","(0.6011817455291748, -0.1649288684129715)",1,"(0.5821805596351624, 0.5076740980148315, 0.6639870405197144)","(-38.071109771728516, 0.5280276536941528, 649.1961059570312)",1,"(72.59918975830078, 425.1700439453125, 9.100000381469727)","(0.6174447536468506, -0.16300062835216522)",1
16,1167649654172215,"(0.7118801474571228, 0.50196772813797, 0.6429101824760437)","(-93.39791870117188, 1.8289223909378052, 642.873046875)",1,"(61.368656158447266, 408.4795837402344, 9.100000381469727)","(0.5995791554450989, -0.11579833924770355)",1,"(0.5822221040725708, 0.5076032280921936, 0.6636199951171875)","(-38.08431625366211, 0.5503288507461548, 649.0859985351562)",1,"(76.93373107910156, 427.1371154785156, 9.100000381469727)","(0.6243401765823364, -0.16856370866298676)",1
