,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167647558779940,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167647558822584,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167647558865144,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167647558907787,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167647558950447,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167647558992999,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
6,1167647559016588,"(0.4655875265598297, 0.2560240924358368, 0.2609834671020508)","(9.095914840698242, 71.01472473144531, 528.2950439453125)",1,"(132.8312530517578, 309.26611328125, 9.100000381469727)","(0.7132623195648193, 0.16478751599788666)",1,"(0.3025365471839905, 0.26618823409080505, 0.2590049207210541)","(64.92171478271484, 68.32762908935547, 527.7014770507812)",1,"(132.51177978515625, 296.13861083984375, 9.100000381469727)","(0.7127540707588196, 0.20191341638565063)",1
7,1167647559045846,"(0.4657987356185913, 0.25604248046875, 0.2607393264770508)","(9.021712303161621, 70.99942016601562, 528.2218017578125)",1,"(134.16131591796875, 302.6374816894531, 9.100000381469727)","(0.7153781652450562, 0.18353398144245148)",1,"(0.30279234051704407, 0.26608505845069885, 0.2592083811759949)","(64.8442153930664, 68.36363220214844, 527.7625122070312)",1,"(136.5183868408203, 288.44610595703125, 9.100000381469727)","(0.7191278338432312, 0.2236686646938324)",1
8,1167647559165718,"(0.4668687880039215, 0.2559274733066559, 0.26243531703948975)","(8.666810989379883, 71.09932708740234, 528.7305908203125)",1,"(135.09237670898438, 306.50921630859375, 9.100000381469727)","(0.7168593406677246, 0.17258431017398834)",1,"(0.30375969409942627, 0.26526013016700745, 0.2598382532596588)","(64.54291534423828, 68.61412048339844, 527.9514770507812)",1,"(133.37570190429688, 294.5972900390625, 9.100000381469727)","(0.7141284346580505, 0.2062724381685257)",1
9,1167647559216134,"(0.4674655795097351, 0.25567322969436646, 0.26386454701423645)","(8.471317291259766, 71.22732543945312, 529.1593627929688)",1,"(129.78707885742188, 333.6246337890625, 9.100000381469727)","(0.7084196209907532, 0.09589911997318268)",1,"(0.30479007959365845, 0.26468345522880554, 0.2602534890174866)","(64.20951843261719, 68.7878189086914, 528.0760498046875)",1,"(132.78993225097656, 335.95196533203125, 9.100000381469727)","(0.7131965756416321, 0.0893171951174736)",1
10,1167647559274787,"(0.46800926327705383, 0.25599202513694763, 0.2646220028400421)","(8.29041862487793, 71.1698226928711, 529.3865966796875)",1,"(129.49729919433594, 331.71673583984375, 9.100000381469727)","(0.7079586386680603, 0.10129489749670029)",1,"(0.3050248920917511, 0.2645116150379181, 0.26035991311073303)","(64.13391876220703, 68.83902740478516, 528.1079711914062)",1,"(127.15879821777344, 317.103759765625, 9.100000381469727)","(0.7042385339736938, 0.14262190461158752)",1
11,1167647559326664,"(0.4680422246456146, 0.2560977041721344, 0.26482218503952026)","(8.28071403503418, 71.14892578125, 529.4466552734375)",1,"(128.43661499023438, 329.59832763671875, 9.100000381469727)","(0.7062712907791138, 0.10728596895933151)",1,"(0.3049357533454895, 0.2645135819911957, 0.2601594924926758)","(64.1544189453125, 68.83062744140625, 528.0478515625)",1,"(126.65499114990234, 317.7250061035156, 9.100000381469727)","(0.703437089920044, 0.14086493849754333)",1
12,1167647559377562,"(0.46781083941459656, 0.25616198778152466, 0.26485657691955566)","(8.360715866088867, 71.13282775878906, 529.4569702148438)",1,"(130.2889862060547, 328.32537841796875, 9.100000381469727)","(0.7092180848121643, 0.11088602244853973)",1,"(0.30472394824028015, 0.2645845413208008, 0.2606697678565979)","(64.25281524658203, 68.83161926269531, 528.200927734375)",1,"(126.8075180053711, 318.5245056152344, 9.100000381469727)","(0.7036797404289246, 0.1386038213968277)",1
