,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167649472141616,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167649472186079,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167649472224538,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167649472268747,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167649472312999,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167649472352497,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.493321031332016, 0.6313819289207458, 0.635869562625885)","(0.4839033782482147, -38.2164192199707, 640.7608642578125)",1,"(-206.99842834472656, 349.3366394042969, 9.100000381469727)","(0.17265906929969788, 0.05146399512887001)",1
6,1167649472393513,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.49392828345298767, 0.631332516670227, 0.6357519626617432)","(0.22451764345169067, -38.20112609863281, 640.7255859375)",1,"(-232.30606079101562, 396.6958923339844, 9.100000381469727)","(0.1323995441198349, -0.0824727863073349)",1
7,1167649472563561,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.489644318819046, 0.6304599046707153, 0.6356133818626404)","(2.0531039237976074, -37.90650939941406, 640.6840209960938)",1,"(169.19090270996094, 380.79998779296875, 9.100000381469727)","(0.7711035013198853, -0.03751756623387337)",1
8,1167649472619394,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.4865628182888031, 0.6297717690467834, 0.6787919402122498)","(3.401221990585327, -38.436012268066406, 653.6375732421875)",1,"(161.94248962402344, 387.21051025390625, 9.100000381469727)","(0.7595726847648621, -0.055647216737270355)",1
9,1167649472753335,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.4844723641872406, 0.6294050812721252, 0.6753613352775574)","(4.303115367889404, -38.24952697753906, 652.6083984375)",1,"(168.47080993652344, 399.4464111328125, 9.100000381469727)","(0.769957959651947, -0.09025158733129501)",1
10,1167649472956140,"(0.60989910364151, 0.6255935430526733, 0.6771474480628967)","(-50.03492736816406, -37.55131530761719, 653.1442260742188)",1,"(187.3416748046875, 407.3963928222656, 9.100000381469727)","(0.7999778389930725, -0.11273492872714996)",1,"(0.48196548223495483, 0.629555344581604, 0.6747767925262451)","(5.387829303741455, -38.2777214050293, 652.4330444335938)",1,"(179.92100524902344, 394.2912292480469, 9.100000381469727)","(0.7881730198860168, -0.0756722167134285)",1
11,1167649473064503,"(0.6100261211395264, 0.6275784373283386, 0.6785648465156555)","(-50.110328674316406, -38.21561050415039, 653.5694580078125)",1,"(180.58570861816406, 412.4448547363281, 9.100000381469727)","(0.7892304062843323, -0.12701252102851868)",1,"(0.4821268916130066, 0.632117509841919, 0.6767128705978394)","(5.324527740478516, -39.13671112060547, 653.0138549804688)",1,"(182.15899658203125, 406.0252990722656, 9.100000381469727)","(0.7917332053184509, -0.10885730385780334)",1
12,1167649473162447,"(0.6147145628929138, 0.6301480531692505, 0.684012234210968)","(-52.23431396484375, -39.15932083129883, 655.2036743164062)",1,"(-288.09033203125, 335.40460205078125, 9.100000381469727)","(0.04365754872560501, 0.09086518734693527)",1,"(0.48837828636169434, 0.6338609457015991, 0.6796290874481201)","(2.6210148334503174, -39.77562713623047, 653.8887329101562)",1,"(-270.0432434082031, 360.57122802734375, 9.100000381469727)","(0.07236699014902115, 0.019691402092576027)",1
13,1167649473218595,"(0.6139503717422485, 0.6319968104362488, 0.6561371088027954)","(-51.40550994873047, -39.24782180786133, 646.8411254882812)",1,"(-347.9126281738281, 327.6222229003906, 9.100000381469727)","(-0.05150812491774559, 0.11287462711334229)",1,"(0.48914623260498047, 0.634658694267273, 0.6789125800132751)","(2.2890172004699707, -40.02262878417969, 653.6737670898438)",1,"(-289.51165771484375, 361.96636962890625, 9.100000381469727)","(0.04139653220772743, 0.01574578881263733)",1
14,1167649473270716,"(0.6163052916526794, 0.6316307783126831, 0.683074951171875)","(-52.905120849609375, -39.62761306762695, 654.9224853515625)",1,"(-297.7921142578125, 331.05810546875, 9.100000381469727)","(0.028223905712366104, 0.10315758734941483)",1,"(0.48883047699928284, 0.6355211138725281, 0.6770615577697754)","(2.4264297485351562, -40.265018463134766, 653.1184692382812)",1,"(-251.7774200439453, 366.6470642089844, 9.100000381469727)","(0.10142436623573303, 0.002508364384993911)",1
15,1167649473320290,"(0.6151948571205139, 0.6303439140319824, 0.6829950213432312)","(-52.424224853515625, -39.20631790161133, 654.8984985351562)",1,"(-295.11346435546875, 328.1094970703125, 9.100000381469727)","(0.03248513489961624, 0.11149648576974869)",1,"(0.48763811588287354, 0.6355937123298645, 0.6771158576011658)","(2.9430270195007324, -40.28461456298828, 653.134765625)",1,"(-283.1907958984375, 432.4641418457031, 9.100000381469727)","(0.051451798528432846, -0.1836290955543518)",1
16,1167649473368677,"(0.6140002012252808, 0.6290267705917358, 0.6838266849517822)","(-51.923030853271484, -38.791019439697266, 655.1480102539062)",1,"(-296.5113830566406, 328.3734436035156, 9.100000381469727)","(0.030261285603046417, 0.11075002700090408)",1,"(0.48645198345184326, 0.6352208256721497, 0.6774765849113464)","(3.456524133682251, -40.16651916503906, 653.2429809570312)",1,"(-263.46771240234375, 345.45123291015625, 9.100000381469727)","(0.0828273594379425, 0.062452320009469986)",1
17,1167649473406536,"(0.6133859753608704, 0.6290486454963684, 0.6835341453552246)","(-51.651222229003906, -38.79051971435547, 655.0602416992188)",1,"(-311.4481506347656, 339.0319519042969, 9.100000381469727)","(0.006499808747321367, 0.08060674369335175)",1,"(0.4858776330947876, 0.6356032490730286, 0.6772957444190979)","(3.7058253288269043, -40.28401184082031, 653.188720703125)",1,"(-285.95257568359375, 361.7939453125, 9.100000381469727)","(0.047058336436748505, 0.01623344048857689)",1
