,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167630540263807
1,"(-117.26054382324219, 34.225608825683594, 9.100000381469727)","(-152.67466735839844, 62.3121337890625, 9.100000381469727)",1167630540650082
2,"(-111.73041534423828, 64.76213073730469, 9.100000381469727)","(-139.2948760986328, 76.11080932617188, 9.100000381469727)",1167630540679465
3,"(nan, nan, nan)","(nan, nan, nan)",1167630540757189
4,"(-126.99211120605469, 102.37165069580078, 9.100000381469727)","(-141.73275756835938, 99.62776184082031, 9.100000381469727)",1167630540831853
5,"(-126.29856872558594, 90.40666198730469, 9.100000381469727)","(-141.57723999023438, 98.40039825439453, 9.100000381469727)",1167630540856910
6,"(-123.94808959960938, 88.45223236083984, 9.100000381469727)","(-141.58294677734375, 101.47049713134766, 9.100000381469727)",1167630540891168
7,"(-126.24882507324219, 90.375244140625, 9.100000381469727)","(-141.29608154296875, 101.54901885986328, 9.100000381469727)",1167630540924227
8,"(-122.8311538696289, 89.22942352294922, 9.100000381469727)","(-138.67813110351562, 100.42202758789062, 9.100000381469727)",1167630540958217
9,"(-124.26167297363281, 91.00992584228516, 9.100000381469727)","(-138.1117706298828, 100.22479248046875, 9.100000381469727)",1167630540990943
10,"(-126.13291931152344, 92.93403625488281, 9.100000381469727)","(-138.92431640625, 101.5677490234375, 9.100000381469727)",1167630541023546
11,"(-124.96821594238281, 93.13401794433594, 9.100000381469727)","(-138.57769775390625, 100.68726348876953, 9.100000381469727)",1167630541056947
12,"(-123.19581604003906, 90.31753540039062, 9.100000381469727)","(-139.6735076904297, 100.767333984375, 9.100000381469727)",1167630541090519
13,"(-124.34532165527344, 89.21903228759766, 9.100000381469727)","(-139.90370178222656, 100.77912902832031, 9.100000381469727)",1167630541122838
14,"(-124.55170440673828, 91.87914276123047, 9.100000381469727)","(-141.5506591796875, 100.33460235595703, 9.100000381469727)",1167630541156174
15,"(-124.5498046875, 90.66289520263672, 9.100000381469727)","(-140.3609619140625, 99.98677062988281, 9.100000381469727)",1167630541188706
16,"(-125.19163513183594, 92.53245544433594, 9.100000381469727)","(-139.56666564941406, 100.65823364257812, 9.100000381469727)",1167630541220347
17,"(-124.03823852539062, 93.3028564453125, 9.100000381469727)","(-137.41709899902344, 99.7259292602539, 9.100000381469727)",1167630541252098
18,"(-127.06554412841797, 90.89434051513672, 9.100000381469727)","(-138.3907470703125, 101.9263687133789, 9.100000381469727)",1167630541284124
