,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167631110839073
1,"(87.90994262695312, 158.1821746826172, 9.100000381469727)","(117.20774841308594, 139.6529541015625, 9.100000381469727)",1167631111227436
2,"(111.04607391357422, 149.57667541503906, 9.100000381469727)","(98.74296569824219, 148.09327697753906, 9.100000381469727)",1167631111257674
3,"(113.20845794677734, 148.88719177246094, 9.100000381469727)","(97.29009246826172, 150.3658447265625, 9.100000381469727)",1167631111397760
4,"(111.56536102294922, 151.3795623779297, 9.100000381469727)","(95.9780044555664, 146.21788024902344, 9.100000381469727)",1167631111438138
5,"(113.61820220947266, 148.48138427734375, 9.100000381469727)","(95.84012603759766, 148.84422302246094, 9.100000381469727)",1167631111474157
6,"(112.7685775756836, 149.8651580810547, 9.100000381469727)","(95.03266906738281, 149.5935821533203, 9.100000381469727)",1167631111508290
7,"(110.86836242675781, 147.8817901611328, 9.100000381469727)","(95.65141296386719, 147.77462768554688, 9.100000381469727)",1167631111541935
8,"(112.63719940185547, 150.4425811767578, 9.100000381469727)","(95.89058685302734, 150.34848022460938, 9.100000381469727)",1167631111575248
9,"(112.5846939086914, 149.50091552734375, 9.100000381469727)","(96.7572250366211, 149.87330627441406, 9.100000381469727)",1167631111608728
10,"(112.59833526611328, 151.29380798339844, 9.100000381469727)","(94.95440673828125, 150.78939819335938, 9.100000381469727)",1167631111641942
11,"(112.04866027832031, 149.54600524902344, 9.100000381469727)","(97.29796600341797, 151.50454711914062, 9.100000381469727)",1167631111675170
12,"(111.43508911132812, 149.125, 9.100000381469727)","(97.22262573242188, 150.8896484375, 9.100000381469727)",1167631111709070
13,"(112.37971496582031, 150.97032165527344, 9.100000381469727)","(97.59925842285156, 151.30294799804688, 9.100000381469727)",1167631111743116
14,"(111.5546646118164, 150.29885864257812, 9.100000381469727)","(96.08982849121094, 149.61056518554688, 9.100000381469727)",1167631111776272
15,"(111.82353973388672, 151.23927307128906, 9.100000381469727)","(98.76589965820312, 150.43212890625, 9.100000381469727)",1167631111809641
16,"(111.19908142089844, 150.175048828125, 9.100000381469727)","(98.46003723144531, 150.73423767089844, 9.100000381469727)",1167631111843147
17,"(110.1924819946289, 149.50430297851562, 9.100000381469727)","(97.01104736328125, 149.44944763183594, 9.100000381469727)",1167631111876355
18,"(nan, nan, nan)","(87.88098907470703, 102.51399993896484, 9.100000381469727)",1167631111909874
19,"(nan, nan, nan)","(nan, nan, nan)",1167631111943909
20,"(nan, nan, nan)","(nan, nan, nan)",1167631111975127
21,"(nan, nan, nan)","(nan, nan, nan)",1167631112000957
22,"(nan, nan, nan)","(nan, nan, nan)",1167631112026726
23,"(nan, nan, nan)","(nan, nan, nan)",1167631112052402
24,"(nan, nan, nan)","(nan, nan, nan)",1167631112087819
25,"(102.13175964355469, 86.16841888427734, 9.100000381469727)","(82.4029541015625, 101.6959228515625, 9.100000381469727)",1167631112123238
26,"(nan, nan, nan)","(nan, nan, nan)",1167631112168057
27,"(108.34864807128906, 128.56314086914062, 9.100000381469727)","(99.01651763916016, 137.60792541503906, 9.100000381469727)",1167631112206574
