,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167707832515691,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167707832558284,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167707832600849,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167707832643527,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167707832686092,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167707832728945,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.5298138856887817, 0.37783563137054443, 0.645173966884613)","(-15.571513175964355, 42.00032424926758, 643.5521850585938)",1,"(-381.5252380371094, 348.4662780761719, 9.100000381469727)","(-0.10497930645942688, 0.053925443440675735)",1
6,1167707832769538,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.530107855796814, 0.37773486971855164, 0.6442679762840271)","(-15.692712783813477, 42.01302719116211, 643.2803955078125)",1,"(-391.16400146484375, 345.51959228515625, 9.100000381469727)","(-0.12031271308660507, 0.062258996069431305)",1
7,1167707832838852,"(0.6524182558059692, 0.39486679434776306, 0.7130959033966064)","(-69.77851104736328, 37.27791976928711, 663.9287719726562)",1,"(-407.84808349609375, 352.2766418457031, 9.100000381469727)","(-0.14685384929180145, 0.04314938560128212)",1,"(0.5307842493057251, 0.37701699137687683, 0.6432576775550842)","(-15.978313446044922, 42.21762466430664, 642.977294921875)",1,"(-385.7232971191406, 336.6683044433594, 9.100000381469727)","(-0.11165757477283478, 0.08729132264852524)",1
8,1167707832898608,"(0.6532343626022339, 0.3951709270477295, 0.7130008935928345)","(-70.13411712646484, 37.17342758178711, 663.9002685546875)",1,"(-447.5152587890625, 282.8116455078125, 9.100000381469727)","(-0.20995664596557617, 0.2396034449338913)",1,"(0.5321041345596313, 0.3775765597820282, 0.6424688696861267)","(-16.53911018371582, 42.01942443847656, 642.7406616210938)",1,"(-427.0963134765625, 287.3753356933594, 9.100000381469727)","(-0.17747405171394348, 0.2266968935728073)",1
9,1167707832945386,"(0.65593022108078, 0.3955402374267578, 0.6875722408294678)","(-70.70672607421875, 36.60761260986328, 656.2716674804688)",1,"(-462.3751220703125, 276.628662109375, 9.100000381469727)","(-0.2335958033800125, 0.2570895850658417)",1,"(0.5332119464874268, 0.37753885984420776, 0.6395070552825928)","(-16.996028900146484, 41.96781539916992, 641.8521118164062)",1,"(-376.1092529296875, 263.7359313964844, 9.100000381469727)","(-0.09636347740888596, 0.2935515344142914)",1
