,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167707092411460,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167707092454215,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167707092496804,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167707092539452,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167707092582079,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167707092605100,"(0.6765016317367554, 0.27039220929145813, 0.35931822657585144)","(-67.95792388916016, 70.78021240234375, 557.7954711914062)",1,"(-207.58157348632812, 229.3860321044922, 9.100000381469727)","(0.17173142731189728, 0.39069658517837524)",1,"(0.5278729200363159, 0.2650592625141144, 0.32347941398620605)","(-12.809428215026855, 71.05501556396484, 547.0438232421875)",1,"(-188.89476013183594, 219.4307098388672, 9.100000381469727)","(0.20145851373672485, 0.41885125637054443)",1
6,1167707092634433,"(0.6742802858352661, 0.2713133692741394, 0.3574204444885254)","(-67.04532623291016, 70.44161987304688, 557.2261352539062)",1,"(-123.93668365478516, 165.44679260253906, 9.100000381469727)","(0.3047942519187927, 0.5715232491493225)",1,"(0.5264647006988525, 0.2666422724723816, 0.3237357437610626)","(-12.30172348022461, 70.61541748046875, 547.1207275390625)",1,"(-116.96931457519531, 141.3310089111328, 9.100000381469727)","(0.3158779740333557, 0.6397252082824707)",1
7,1167707092709724,"(0.6723240613937378, 0.2715662121772766, 0.3545912802219391)","(-66.19002532958984, 70.26131439208984, 556.3773803710938)",1,"(-103.52542114257812, 123.00318908691406, 9.100000381469727)","(0.3372645974159241, 0.6915581226348877)",1,"(0.5233609080314636, 0.2686135768890381, 0.32163432240486145)","(-11.164820671081543, 69.97471618652344, 546.4902954101562)",1,"(-97.84807586669922, 114.67975616455078, 9.100000381469727)","(0.34629616141319275, 0.7150976657867432)",1
8,1167707092769992,"(0.6700902581214905, 0.27201685309410095, 0.35231995582580566)","(-65.26132202148438, 70.04561614990234, 555.6959838867188)",1,"(-68.00225830078125, 104.35426330566406, 9.100000381469727)","(0.393775075674057, 0.7442992329597473)",1,"(0.520835280418396, 0.2703772485256195, 0.32079875469207764)","(-10.248024940490723, 69.44271850585938, 546.2396240234375)",1,"(-68.93091583251953, 78.61302185058594, 9.100000381469727)","(0.39229777455329895, 0.817098081111908)",1
9,1167707092821199,"(0.6685101389884949, 0.2718101739883423, 0.3487410545349121)","(-64.51602935791016, 69.96951293945312, 554.622314453125)",1,"(-69.09190368652344, 109.54367065429688, 9.100000381469727)","(0.3920416831970215, 0.729623019695282)",1,"(0.5182655453681946, 0.27172958850860596, 0.3190828561782837)","(-9.311927795410156, 68.99441528320312, 545.724853515625)",1,"(-62.0720329284668, 93.7696304321289, 9.100000381469727)","(0.4032089114189148, 0.7742336392402649)",1
