,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167630930667136
1,"(49.9921875, 229.50665283203125, 9.100000381469727)","(30.413110733032227, 231.95098876953125, 9.100000381469727)",1167630931055457
2,"(48.294960021972656, 230.236572265625, 9.100000381469727)","(34.2099494934082, 234.27342224121094, 9.100000381469727)",1167630931086114
3,"(nan, nan, nan)","(nan, nan, nan)",1167630931126301
4,"(29.888084411621094, 227.82020568847656, 9.100000381469727)","(17.42974853515625, 228.3871307373047, 9.100000381469727)",1167630931166066
5,"(-13.631573677062988, 198.33444213867188, 9.100000381469727)","(-29.8840274810791, 194.5213165283203, 9.100000381469727)",1167630931192255
6,"(-19.972965240478516, 195.64634704589844, 9.100000381469727)","(-36.088443756103516, 191.23416137695312, 9.100000381469727)",1167630931226615
7,"(-19.061553955078125, 192.8566131591797, 9.100000381469727)","(-32.9912109375, 192.57200622558594, 9.100000381469727)",1167630931261520
8,"(-21.182472229003906, 191.6311492919922, 9.100000381469727)","(-33.7651252746582, 194.608642578125, 9.100000381469727)",1167630931295930
9,"(-18.067623138427734, 193.40487670898438, 9.100000381469727)","(-38.85413360595703, 192.36712646484375, 9.100000381469727)",1167630931328950
10,"(-18.63985252380371, 194.17001342773438, 9.100000381469727)","(-36.264305114746094, 192.1616973876953, 9.100000381469727)",1167630931361879
11,"(-18.63404083251953, 194.14451599121094, 9.100000381469727)","(-39.95279312133789, 193.68011474609375, 9.100000381469727)",1167630931395193
12,"(-18.025259017944336, 195.1326446533203, 9.100000381469727)","(-37.970314025878906, 193.1448211669922, 9.100000381469727)",1167630931428529
13,"(-20.116289138793945, 195.6429443359375, 9.100000381469727)","(-36.98634719848633, 196.53073120117188, 9.100000381469727)",1167630931462082
14,"(-21.002315521240234, 196.24514770507812, 9.100000381469727)","(-37.07398223876953, 196.88613891601562, 9.100000381469727)",1167630931495499
15,"(-11.231513023376465, 212.90342712402344, 9.100000381469727)","(-25.88926124572754, 216.87103271484375, 9.100000381469727)",1167630931528766
16,"(-10.353307723999023, 216.6165008544922, 9.100000381469727)","(-31.19679832458496, 215.45004272460938, 9.100000381469727)",1167630931562071
17,"(-10.516742706298828, 214.30255126953125, 9.100000381469727)","(-29.93540382385254, 218.04617309570312, 9.100000381469727)",1167630931595133
18,"(-9.769660949707031, 215.64749145507812, 9.100000381469727)","(-30.583139419555664, 214.71791076660156, 9.100000381469727)",1167630931627727
19,"(nan, nan, nan)","(nan, nan, nan)",1167630931660292
20,"(nan, nan, nan)","(nan, nan, nan)",1167630931692801
21,"(nan, nan, nan)","(nan, nan, nan)",1167630931718079
22,"(nan, nan, nan)","(nan, nan, nan)",1167630931743266
23,"(nan, nan, nan)","(nan, nan, nan)",1167630931772807
24,"(nan, nan, nan)","(nan, nan, nan)",1167630931816123
