,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167706428881677,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167706428924219,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167706428966807,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167706429009453,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167706429051981,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167706429093074,"(0.5781380534172058, 0.4490790367126465, 0.7343054413795471)","(-37.323020935058594, 19.982519149780273, 670.2916259765625)",1,"(208.2410888671875, 296.7998962402344, 9.100000381469727)","(0.8332247734069824, 0.20004324615001678)",1,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
6,1167706429134093,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.45222774147987366, 0.4559362530708313, 0.7369527220726013)","(18.36631965637207, 18.25092124938965, 671.0858154296875)",1,"(193.97450256347656, 381.4974670410156, 9.100000381469727)","(0.810529351234436, -0.03949011489748955)",1
7,1167706429211533,"(0.5756255388259888, 0.44740375876426697, 0.7374900579452515)","(-36.2545166015625, 20.57642936706543, 671.2470092773438)",1,"(231.05422973632812, 470.81414794921875, 9.100000381469727)","(0.8695160746574402, -0.2920868396759033)",1,"(0.45135533809661865, 0.4547482430934906, 0.7370454668998718)","(18.75111198425293, 18.648122787475586, 671.1136474609375)",1,"(215.2288055419922, 439.4803771972656, 9.100000381469727)","(0.8443408608436584, -0.20347167551517487)",1
8,1167706429241821,"(0.5757078528404236, 0.4474303126335144, 0.7369421124458313)","(-36.28411865234375, 20.562124252319336, 671.0826416015625)",1,"(233.4950408935547, 450.50616455078125, 9.100000381469727)","(0.8733989000320435, -0.2346537709236145)",1,"(0.4511161148548126, 0.4548659324645996, 0.7392907738685608)","(18.870115280151367, 18.629425048828125, 671.7872314453125)",1,"(253.44598388671875, 445.1780700683594, 9.100000381469727)","(0.9051370024681091, -0.2195853292942047)",1
9,1167706429285216,"(0.5758673548698425, 0.4472315013408661, 0.7373203635215759)","(-36.359710693359375, 20.630828857421875, 671.1961059570312)",1,"(243.05136108398438, 474.61749267578125, 9.100000381469727)","(0.8886011838912964, -0.3028430640697479)",1,"(0.4511168897151947, 0.4547126591205597, 0.7390824556350708)","(18.86841583251953, 18.678421020507812, 671.7247314453125)",1,"(244.9405059814453, 455.16748046875, 9.100000381469727)","(0.8916064500808716, -0.24783647060394287)",1
10,1167706429336281,"(0.5760324597358704, 0.4471522271633148, 0.7378800511360168)","(-36.439815521240234, 20.661720275878906, 671.364013671875)",1,"(234.7006072998047, 450.4237060546875, 9.100000381469727)","(0.8753167390823364, -0.23442058265209198)",1,"(0.4512517750263214, 0.45452573895454407, 0.7399953007698059)","(18.813613891601562, 18.74762725830078, 671.9985961914062)",1,"(256.0114440917969, 451.6478271484375, 9.100000381469727)","(0.9092181324958801, -0.23788249492645264)",1
11,1167706429386501,"(0.5774168372154236, 0.4466746151447296, 0.7392815947532654)","(-37.07111740112305, 20.827526092529297, 671.7844848632812)",1,"(91.52019500732422, 624.204345703125, 9.100000381469727)","(0.6475444436073303, -0.7258899807929993)",1,"(0.45344144105911255, 0.4533604085445404, 0.7393620014190674)","(17.838716506958008, 19.119028091430664, 671.80859375)",1,"(126.57447052001953, 624.7514038085938, 9.100000381469727)","(0.7033089995384216, -0.7274370789527893)",1
12,1167706429438213,"(0.5789597034454346, 0.4467265009880066, 0.7400004267692566)","(-37.76341247558594, 20.810924530029297, 672.0001220703125)",1,"(1.69632089138031, 626.9099731445312, 9.100000381469727)","(0.5046520233154297, -0.7335418462753296)",1,"(0.45452365279197693, 0.45310917496681213, 0.739854097366333)","(17.361717224121094, 19.202226638793945, 671.9562377929688)",1,"(-7.223126411437988, 669.8412475585938, 9.100000381469727)","(0.49046292901039124, -0.8549558520317078)",1
13,1167706429495446,"(0.5779345035552979, 0.4471149444580078, 0.7167114019393921)","(-37.014312744140625, 20.465219497680664, 665.013427734375)",1,"(-132.00201416015625, 655.5205688476562, 9.100000381469727)","(0.2919638752937317, -0.8144554495811462)",1,"(0.4548894166946411, 0.45290759205818176, 0.7396945953369141)","(17.1986141204834, 19.266029357910156, 671.9083862304688)",1,"(-17.945831298828125, 631.580322265625, 9.100000381469727)","(0.4734051525592804, -0.746749997138977)",1
14,1167706429546326,"(0.5801689624786377, 0.4468519985675812, 0.740373969078064)","(-38.30371856689453, 20.76802635192871, 672.1121826171875)",1,"(0.04657391086220741, 616.73583984375, 9.100000381469727)","(0.5020275712013245, -0.7047683596611023)",1,"(0.45540276169776917, 0.45268115401268005, 0.7389229536056519)","(16.966915130615234, 19.332027435302734, 671.6768798828125)",1,"(-10.575630187988281, 629.9319458007812, 9.100000381469727)","(0.4851297438144684, -0.7420881986618042)",1
