,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167630690413494
1,"(-172.7423095703125, 252.84417724609375, 9.100000381469727)","(-189.65554809570312, 270.33154296875, 9.100000381469727)",1167630690795645
2,"(-171.890380859375, 254.4730682373047, 9.100000381469727)","(-188.35353088378906, 270.5970458984375, 9.100000381469727)",1167630690825239
3,"(nan, nan, nan)","(nan, nan, nan)",1167630690886931
4,"(-175.02224731445312, 255.34320068359375, 9.100000381469727)","(-190.0806427001953, 270.9818420410156, 9.100000381469727)",1167630690931797
5,"(-176.5741729736328, 255.74954223632812, 9.100000381469727)","(-191.96116638183594, 268.6873474121094, 9.100000381469727)",1167630690955484
6,"(-175.77671813964844, 257.32470703125, 9.100000381469727)","(-189.65103149414062, 270.42108154296875, 9.100000381469727)",1167630690996120
7,"(-175.37026977539062, 255.78175354003906, 9.100000381469727)","(-189.72628784179688, 271.3770446777344, 9.100000381469727)",1167630691028855
8,"(-174.24806213378906, 257.37030029296875, 9.100000381469727)","(-188.7321014404297, 273.8204040527344, 9.100000381469727)",1167630691062414
9,"(-175.09976196289062, 257.5583801269531, 9.100000381469727)","(-189.48460388183594, 272.0213928222656, 9.100000381469727)",1167630691096178
10,"(-175.9231414794922, 257.5522155761719, 9.100000381469727)","(-190.6476287841797, 268.8675537109375, 9.100000381469727)",1167630691129756
11,"(-173.9443817138672, 256.6728820800781, 9.100000381469727)","(-188.8111114501953, 271.9956359863281, 9.100000381469727)",1167630691162969
12,"(-173.1847381591797, 255.8274383544922, 9.100000381469727)","(-190.34861755371094, 271.5722961425781, 9.100000381469727)",1167630691197361
13,"(-172.7284698486328, 254.9861297607422, 9.100000381469727)","(-186.8992919921875, 269.2918395996094, 9.100000381469727)",1167630691230363
14,"(-173.50567626953125, 253.6409912109375, 9.100000381469727)","(-186.6545867919922, 271.340576171875, 9.100000381469727)",1167630691263167
15,"(-175.17506408691406, 255.85623168945312, 9.100000381469727)","(-190.10665893554688, 270.3402404785156, 9.100000381469727)",1167630691296769
16,"(-173.64598083496094, 255.82237243652344, 9.100000381469727)","(-188.41014099121094, 273.62371826171875, 9.100000381469727)",1167630691338224
17,"(-173.09596252441406, 255.72042846679688, 9.100000381469727)","(-185.65362548828125, 268.74798583984375, 9.100000381469727)",1167630691403910
18,"(-174.0557403564453, 255.87855529785156, 9.100000381469727)","(-184.03945922851562, 272.2682800292969, 9.100000381469727)",1167630691518367
19,"(-174.23411560058594, 257.0226135253906, 9.100000381469727)","(-186.80975341796875, 275.2463073730469, 9.100000381469727)",1167630691641083
20,"(-173.13990783691406, 256.70574951171875, 9.100000381469727)","(-186.05563354492188, 274.7924499511719, 9.100000381469727)",1167630691725586
21,"(-172.76490783691406, 256.7827453613281, 9.100000381469727)","(-184.60276794433594, 272.58123779296875, 9.100000381469727)",1167630691765928
22,"(-173.81175231933594, 257.3873291015625, 9.100000381469727)","(-185.4853973388672, 271.574462890625, 9.100000381469727)",1167630691798911
23,"(-172.437744140625, 254.51881408691406, 9.100000381469727)","(-185.88693237304688, 270.1912841796875, 9.100000381469727)",1167630691831451
24,"(-171.38600158691406, 257.8949890136719, 9.100000381469727)","(-185.83993530273438, 272.169677734375, 9.100000381469727)",1167630691863959
25,"(-171.3519287109375, 256.28350830078125, 9.100000381469727)","(-186.33106994628906, 270.9512023925781, 9.100000381469727)",1167630691897667
26,"(-170.82601928710938, 254.20790100097656, 9.100000381469727)","(-184.46617126464844, 271.5616149902344, 9.100000381469727)",1167630691930133
