,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167630630487959
1,"(nan, nan, nan)","(nan, nan, nan)",1167630630882509
2,"(nan, nan, nan)","(nan, nan, nan)",1167630630925106
3,"(nan, nan, nan)","(nan, nan, nan)",1167630630967707
4,"(nan, nan, nan)","(nan, nan, nan)",1167630631010279
5,"(nan, nan, nan)","(nan, nan, nan)",1167630631052836
6,"(nan, nan, nan)","(nan, nan, nan)",1167630631093562
7,"(nan, nan, nan)","(-154.3262939453125, 254.40866088867188, 9.100000381469727)",1167630631134110
8,"(161.27381896972656, 103.1456298828125, 9.100000381469727)","(-159.82835388183594, 260.37744140625, 9.100000381469727)",1167630631185794
9,"(nan, nan, nan)","(-161.00498962402344, 241.58615112304688, 9.100000381469727)",1167630631214828
10,"(-147.60122680664062, 232.97718811035156, 9.100000381469727)","(-161.46182250976562, 245.49130249023438, 9.100000381469727)",1167630631287645
11,"(nan, nan, nan)","(-165.35009765625, 188.6183319091797, 9.100000381469727)",1167630631340960
12,"(nan, nan, nan)","(nan, nan, nan)",1167630631379373
13,"(nan, nan, nan)","(nan, nan, nan)",1167630631406275
14,"(nan, nan, nan)","(nan, nan, nan)",1167630631433746
15,"(nan, nan, nan)","(nan, nan, nan)",1167630631461125
16,"(nan, nan, nan)","(nan, nan, nan)",1167630631492522
17,"(nan, nan, nan)","(nan, nan, nan)",1167630631551360
18,"(nan, nan, nan)","(nan, nan, nan)",1167630631677711
19,"(-103.01227569580078, 240.81344604492188, 9.100000381469727)","(-118.17215728759766, 249.04660034179688, 9.100000381469727)",1167630631721415
20,"(-103.60720825195312, 237.8938751220703, 9.100000381469727)","(-119.90853881835938, 246.3651580810547, 9.100000381469727)",1167630631742289
21,"(-101.48025512695312, 240.53627014160156, 9.100000381469727)","(-117.68511962890625, 244.17181396484375, 9.100000381469727)",1167630631777697
22,"(-103.49476623535156, 242.7325439453125, 9.100000381469727)","(-118.76887512207031, 243.46212768554688, 9.100000381469727)",1167630631809781
23,"(-103.52312469482422, 239.2801055908203, 9.100000381469727)","(-117.77701568603516, 244.92178344726562, 9.100000381469727)",1167630631841867
24,"(-105.05415344238281, 243.32154846191406, 9.100000381469727)","(-118.93704223632812, 241.95310974121094, 9.100000381469727)",1167630631873478
25,"(-102.07440948486328, 241.6605987548828, 9.100000381469727)","(-118.71648406982422, 243.4038848876953, 9.100000381469727)",1167630631905069
26,"(-103.459716796875, 241.1278839111328, 9.100000381469727)","(-115.78134155273438, 243.79718017578125, 9.100000381469727)",1167630631936879
27,"(-92.02960205078125, 240.03628540039062, 9.100000381469727)","(-107.99474334716797, 243.23020935058594, 9.100000381469727)",1167630631968130
