,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167709175300917,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167709175337992,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167709175380657,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167709175423211,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167709175465809,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167709175508432,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
6,1167709175553716,"(0.5837342739105225, 0.3422408998012543, 0.5470225214958191)","(-37.45743179321289, 50.598419189453125, 614.1067504882812)",1,"(35.36764907836914, 257.86474609375, 9.100000381469727)","(0.5582165718078613, 0.31015586853027344)",1,"(0.4557584822177887, 0.3665328621864319, 0.4503554403781891)","(14.653221130371094, 45.140113830566406, 585.1066284179688)",1,"(35.66457748413086, 211.4224395751953, 9.100000381469727)","(0.5586889386177063, 0.4414994716644287)",1
7,1167709175599771,"(0.5854135751724243, 0.34286779165267944, 0.5468149781227112)","(-38.15081787109375, 50.39731979370117, 614.0444946289062)",1,"(-6.235101222991943, 244.2623291015625, 9.100000381469727)","(0.4920346736907959, 0.3486248850822449)",1,"(0.4513101577758789, 0.35415011644363403, 0.5366442799568176)","(17.48741912841797, 47.24571990966797, 610.9932861328125)",1,"(15.666869163513184, 245.65684509277344, 9.100000381469727)","(0.5268764495849609, 0.344681054353714)",1
8,1167709175759553,"(0.5898109674453735, 0.3437348008155823, 0.5451489090919495)","(-39.951026916503906, 50.077117919921875, 613.544677734375)",1,"(8.798212051391602, 242.1664581298828, 9.100000381469727)","(0.5159497857093811, 0.3545522093772888)",1,"(0.4552588164806366, 0.35214921832084656, 0.5326957106590271)","(15.831022262573242, 47.73871994018555, 609.8087158203125)",1,"(17.790706634521484, 231.84251403808594, 9.100000381469727)","(0.5302550792694092, 0.383749395608902)",1
9,1167709175797790,"(0.5906115770339966, 0.3436782956123352, 0.5450301170349121)","(-40.2816276550293, 50.08831787109375, 613.509033203125)",1,"(8.681390762329102, 238.1195068359375, 9.100000381469727)","(0.5157639384269714, 0.36599740386009216)",1,"(0.45604443550109863, 0.3517926037311554, 0.531350314617157)","(15.499226570129395, 47.81071472167969, 609.4050903320312)",1,"(14.628074645996094, 223.5139617919922, 9.100000381469727)","(0.525223970413208, 0.4073033928871155)",1
10,1167709175852860,"(0.5910718441009521, 0.34406778216362, 0.5447070598602295)","(-40.467227935791016, 49.9608154296875, 613.412109375)",1,"(10.255415916442871, 219.5272979736328, 9.100000381469727)","(0.5182678699493408, 0.4185781180858612)",1,"(0.4567195475101471, 0.352050244808197, 0.5301316380500793)","(15.21481990814209, 47.701717376708984, 609.0394897460938)",1,"(17.179182052612305, 237.33416748046875, 9.100000381469727)","(0.52928227186203, 0.36821842193603516)",1
11,1167709175900187,"(0.5914381146430969, 0.34427300095558167, 0.5446699857711792)","(-40.61832809448242, 49.89651107788086, 613.4010009765625)",1,"(4.880575656890869, 218.20445251464844, 9.100000381469727)","(0.509717583656311, 0.422319233417511)",1,"(0.45699840784072876, 0.352131187915802, 0.5301857590675354)","(15.100129127502441, 47.67771530151367, 609.0557250976562)",1,"(13.245030403137207, 218.7076416015625, 9.100000381469727)","(0.523023784160614, 0.42089617252349854)",1
12,1167709175947598,"(0.591831624507904, 0.3445289433002472, 0.5447324514389038)","(-40.78202819824219, 49.8192138671875, 613.4197387695312)",1,"(1.025264859199524, 219.5944061279297, 9.100000381469727)","(0.5035845041275024, 0.418388307094574)",1,"(0.4573584496974945, 0.3521953225135803, 0.5300166606903076)","(14.95072078704834, 47.653114318847656, 609.0050048828125)",1,"(17.967979431152344, 222.8590087890625, 9.100000381469727)","(0.5305370688438416, 0.4091556668281555)",1
13,1167709175994688,"(0.5928256511688232, 0.3450881540775299, 0.5450836420059204)","(-41.19873046875, 49.655216217041016, 613.5250854492188)",1,"(-30.534343719482422, 195.35032653808594, 9.100000381469727)","(0.4533792734146118, 0.4869530498981476)",1,"(0.4586159288883209, 0.3523333966732025, 0.5296266674995422)","(14.430126190185547, 47.59771728515625, 608.8880004882812)",1,"(-18.884902954101562, 228.00051879882812, 9.100000381469727)","(0.4719112813472748, 0.39461493492126465)",1
14,1167709176042189,"(0.5933849215507507, 0.34517398476600647, 0.5451755523681641)","(-41.43202590942383, 49.62940979003906, 613.5526733398438)",1,"(-39.39669418334961, 192.72349548339844, 9.100000381469727)","(0.43928098678588867, 0.49438199400901794)",1,"(0.45907172560691833, 0.3522009551525116, 0.5296826362609863)","(14.242120742797852, 47.637115478515625, 608.90478515625)",1,"(-25.319021224975586, 190.85572814941406, 9.100000381469727)","(0.46167585253715515, 0.49966421723365784)",1
15,1167709176089390,"(0.5939646363258362, 0.3453545570373535, 0.5459468364715576)","(-41.6838264465332, 49.59171676635742, 613.7840576171875)",1,"(-41.81585693359375, 191.04930114746094, 9.100000381469727)","(0.4354325830936432, 0.49911680817604065)",1,"(0.4595756232738495, 0.3521145284175873, 0.5296807885169983)","(14.034024238586426, 47.661109924316406, 608.9042358398438)",1,"(-39.12457275390625, 226.83084106445312, 9.100000381469727)","(0.43971389532089233, 0.39792293310165405)",1
16,1167709176137880,"(0.5945122241973877, 0.34538230299949646, 0.545600175857544)","(-41.90582275390625, 49.57271957397461, 613.6800537109375)",1,"(-43.37174987792969, 196.7487030029297, 9.100000381469727)","(0.4329574406147003, 0.4829982817173004)",1,"(0.4601002037525177, 0.35188308358192444, 0.5296878814697266)","(13.81722640991211, 47.72871398925781, 608.9063720703125)",1,"(-30.177553176879883, 195.6079559326172, 9.100000381469727)","(0.4539468586444855, 0.4862244129180908)",1
