,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167630960692193
1,"(-23.221633911132812, 218.0640869140625, 9.100000381469727)","(-37.81765365600586, 217.93301391601562, 9.100000381469727)",1167630961080079
2,"(-23.588167190551758, 215.6168212890625, 9.100000381469727)","(-39.06855010986328, 217.15089416503906, 9.100000381469727)",1167630961110082
3,"(nan, nan, nan)","(nan, nan, nan)",1167630961151839
4,"(-25.188562393188477, 214.79473876953125, 9.100000381469727)","(-40.82914352416992, 215.05516052246094, 9.100000381469727)",1167630961190882
5,"(-26.449939727783203, 217.1407470703125, 9.100000381469727)","(-40.51911544799805, 215.7849884033203, 9.100000381469727)",1167630961215944
6,"(-26.186870574951172, 215.23095703125, 9.100000381469727)","(-40.03763961791992, 217.71823120117188, 9.100000381469727)",1167630961249310
7,"(-24.947406768798828, 214.32896423339844, 9.100000381469727)","(-40.088905334472656, 217.01593017578125, 9.100000381469727)",1167630961281852
8,"(-23.611865997314453, 215.9962615966797, 9.100000381469727)","(-41.767547607421875, 215.81890869140625, 9.100000381469727)",1167630961314187
9,"(-23.317895889282227, 215.5724334716797, 9.100000381469727)","(-40.86693572998047, 213.5973358154297, 9.100000381469727)",1167630961346204
10,"(-23.00531768798828, 211.80897521972656, 9.100000381469727)","(-38.719970703125, 219.00669860839844, 9.100000381469727)",1167630961379262
11,"(-23.034273147583008, 210.83120727539062, 9.100000381469727)","(-41.08048629760742, 213.60023498535156, 9.100000381469727)",1167630961412131
12,"(-23.051498413085938, 212.6583709716797, 9.100000381469727)","(-37.89338684082031, 216.36993408203125, 9.100000381469727)",1167630961444718
13,"(-24.03091812133789, 214.3477783203125, 9.100000381469727)","(-41.257877349853516, 215.17564392089844, 9.100000381469727)",1167630961477834
14,"(-24.390460968017578, 215.2567596435547, 9.100000381469727)","(-40.25331497192383, 214.45997619628906, 9.100000381469727)",1167630961510777
15,"(-22.878917694091797, 215.0669403076172, 9.100000381469727)","(-41.05611801147461, 216.17356872558594, 9.100000381469727)",1167630961543299
16,"(-23.803176879882812, 212.54888916015625, 9.100000381469727)","(-39.84354019165039, 214.5945281982422, 9.100000381469727)",1167630961576387
17,"(-24.408817291259766, 214.7294464111328, 9.100000381469727)","(-41.23843765258789, 216.28271484375, 9.100000381469727)",1167630961609000
18,"(-26.285703659057617, 216.35633850097656, 9.100000381469727)","(-41.44529724121094, 214.664794921875, 9.100000381469727)",1167630961641947
19,"(-25.287555694580078, 213.53646850585938, 9.100000381469727)","(-39.7903938293457, 215.36439514160156, 9.100000381469727)",1167630961675100
20,"(-24.488536834716797, 215.32791137695312, 9.100000381469727)","(-37.33681869506836, 216.51364135742188, 9.100000381469727)",1167630961708276
21,"(-24.379528045654297, 214.21856689453125, 9.100000381469727)","(-38.44660568237305, 216.6197509765625, 9.100000381469727)",1167630961740843
22,"(-15.702995300292969, 209.42282104492188, 9.100000381469727)","(-27.538219451904297, 213.3280487060547, 9.100000381469727)",1167630961775229
23,"(-14.49634075164795, 205.6258087158203, 9.100000381469727)","(-31.926767349243164, 209.48052978515625, 9.100000381469727)",1167630961808077
24,"(-14.67635726928711, 207.0293731689453, 9.100000381469727)","(-30.2307071685791, 207.86517333984375, 9.100000381469727)",1167630961840180
25,"(-15.406017303466797, 206.1454315185547, 9.100000381469727)","(-30.692529678344727, 208.2927703857422, 9.100000381469727)",1167630961872717
26,"(-13.762330055236816, 208.0178985595703, 9.100000381469727)","(-29.1926326751709, 207.8719940185547, 9.100000381469727)",1167630961904927
27,"(-12.37037181854248, 203.75051879882812, 9.100000381469727)","(-29.71544075012207, 207.21539306640625, 9.100000381469727)",1167630961937440
28,"(-14.256548881530762, 204.6279296875, 9.100000381469727)","(-30.318571090698242, 208.07273864746094, 9.100000381469727)",1167630961970251
29,"(-13.0164213180542, 208.55780029296875, 9.100000381469727)","(-31.822513580322266, 207.71632385253906, 9.100000381469727)",1167630962003085
30,"(-13.216815948486328, 208.55540466308594, 9.100000381469727)","(-31.39759063720703, 206.33993530273438, 9.100000381469727)",1167630962036103
31,"(-12.649287223815918, 203.89646911621094, 9.100000381469727)","(-26.004167556762695, 209.7303466796875, 9.100000381469727)",1167630962068188
32,"(-11.294120788574219, 205.5212860107422, 9.100000381469727)","(-25.634498596191406, 209.5955352783203, 9.100000381469727)",1167630962100254
33,"(-6.026217937469482, 205.57618713378906, 9.100000381469727)","(-25.389238357543945, 209.59048461914062, 9.100000381469727)",1167630962132881
34,"(-4.210049152374268, 207.20973205566406, 9.100000381469727)","(-24.520977020263672, 209.3336181640625, 9.100000381469727)",1167630962165129
35,"(-5.86775016784668, 205.41851806640625, 9.100000381469727)","(-24.282108306884766, 207.2247314453125, 9.100000381469727)",1167630962197784
36,"(-4.454715728759766, 208.7113494873047, 9.100000381469727)","(-21.611467361450195, 209.80755615234375, 9.100000381469727)",1167630962229948
37,"(-5.282956600189209, 207.31919860839844, 9.100000381469727)","(-22.58115005493164, 210.16700744628906, 9.100000381469727)",1167630962262681
38,"(-2.713160991668701, 203.6400909423828, 9.100000381469727)","(-14.899749755859375, 205.81309509277344, 9.100000381469727)",1167630962294833
39,"(-0.4492776393890381, 204.63502502441406, 9.100000381469727)","(-17.545305252075195, 204.8456268310547, 9.100000381469727)",1167630962327797
40,"(-1.836992621421814, 202.94102478027344, 9.100000381469727)","(-16.90081214904785, 208.49351501464844, 9.100000381469727)",1167630962360413
41,"(-3.9948008060455322, 201.51145935058594, 9.100000381469727)","(-15.765905380249023, 206.58921813964844, 9.100000381469727)",1167630962393345
42,"(-2.028895616531372, 203.76646423339844, 9.100000381469727)","(-16.324867248535156, 208.75537109375, 9.100000381469727)",1167630962426107
43,"(-1.936805009841919, 205.39398193359375, 9.100000381469727)","(-14.217466354370117, 206.6940155029297, 9.100000381469727)",1167630962458226
44,"(-2.709127187728882, 202.94302368164062, 9.100000381469727)","(-15.343521118164062, 205.611572265625, 9.100000381469727)",1167630962490565
