,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167631381067913
1,"(-231.27256774902344, 288.6483154296875, 9.100000381469727)","(-245.79736328125, 310.6083068847656, 9.100000381469727)",1167631381464366
2,"(-231.55990600585938, 299.1557312011719, 9.100000381469727)","(-245.18804931640625, 309.9718017578125, 9.100000381469727)",1167631381494205
3,"(nan, nan, nan)","(nan, nan, nan)",1167631381538078
4,"(-234.13433837890625, 301.28802490234375, 9.100000381469727)","(-251.14779663085938, 309.27850341796875, 9.100000381469727)",1167631381578137
5,"(-233.82167053222656, 297.5455322265625, 9.100000381469727)","(-246.44259643554688, 307.4092102050781, 9.100000381469727)",1167631381603638
6,"(-230.3925018310547, 300.9463806152344, 9.100000381469727)","(-248.82923889160156, 311.130126953125, 9.100000381469727)",1167631381639133
7,"(-204.18585205078125, 280.5518493652344, 9.100000381469727)","(nan, nan, nan)",1167631381668945
8,"(-204.5948486328125, 280.9014587402344, 9.100000381469727)","(-230.00296020507812, 294.0841369628906, 9.100000381469727)",1167631381699135
9,"(-202.7883758544922, 281.550048828125, 9.100000381469727)","(-227.65548706054688, 297.43310546875, 9.100000381469727)",1167631381724118
10,"(-204.62925720214844, 281.30712890625, 9.100000381469727)","(-227.20416259765625, 297.6282043457031, 9.100000381469727)",1167631381753875
11,"(-208.02191162109375, 275.673095703125, 9.100000381469727)","(-234.4108123779297, 290.2513122558594, 9.100000381469727)",1167631381784619
12,"(-234.46640014648438, 264.9154968261719, 9.100000381469727)","(-250.04368591308594, 276.72674560546875, 9.100000381469727)",1167631381815283
13,"(-234.48692321777344, 266.6537780761719, 9.100000381469727)","(-252.46823120117188, 274.7727966308594, 9.100000381469727)",1167631381846118
14,"(-235.6861572265625, 263.98919677734375, 9.100000381469727)","(-254.23495483398438, 277.6817321777344, 9.100000381469727)",1167631381877302
15,"(-234.9413299560547, 264.7072448730469, 9.100000381469727)","(-252.57716369628906, 273.85357666015625, 9.100000381469727)",1167631381909716
