,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167648385997501,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167648386040245,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167648386082843,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167648386125515,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167648386168087,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167648386208279,"(0.5866050124168396, 0.2781924903392792, 0.34460246562957764)","(-34.400020599365234, 67.87301635742188, 553.3807373046875)",1,"(-17.51207733154297, 405.4578857421875, 9.100000381469727)","(0.4740951955318451, -0.10725265741348267)",1,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
6,1167648386248402,"(0.5871424078941345, 0.27795955538749695, 0.3455875515937805)","(-34.62112045288086, 67.97632598876953, 553.67626953125)",1,"(-48.360008239746094, 421.66357421875, 9.100000381469727)","(0.42502209544181824, -0.153083935379982)",1,"(0.4244862198829651, 0.28510838747024536, 0.24422933161258698)","(22.94571876525879, 62.43202209472656, 523.268798828125)",1,"(-53.823543548583984, 362.4698181152344, 9.100000381469727)","(0.4163306653499603, 0.014322000555694103)",1
7,1167648386402620,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
8,1167648386464368,"(0.5927420854568481, 0.2744380235671997, 0.3511541783809662)","(-36.820919036865234, 69.19612884521484, 555.3462524414062)",1,"(-47.28050994873047, 441.58349609375, 9.100000381469727)","(0.426739364862442, -0.20941956341266632)",1,"(0.439926415681839, 0.27887627482414246, 0.324367880821228)","(18.855010986328125, 67.10462188720703, 547.3103637695312)",1,"(-43.15229034423828, 418.8495788574219, 9.100000381469727)","(0.43330657482147217, -0.14512570202350616)",1
9,1167648386746939,"(0.5993344187736511, 0.27659112215042114, 0.3521580100059509)","(-39.261817932128906, 68.60272979736328, 555.6473999023438)",1,"(-6.021778106689453, 482.6105651855469, 9.100000381469727)","(0.4923740327358246, -0.32544833421707153)",1,"(0.44724610447883606, 0.27931809425354004, 0.32566651701927185)","(16.239418029785156, 67.01802825927734, 547.699951171875)",1,"(-29.59541130065918, 443.6415710449219, 9.100000381469727)","(0.4548729360103607, -0.2152400016784668)",1
