,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167630570309455
1,"(-135.36154174804688, 243.9485321044922, 9.100000381469727)","(-157.96603393554688, 251.6127166748047, 9.100000381469727)",1167630570695388
2,"(-134.90325927734375, 243.64781188964844, 9.100000381469727)","(-157.19639587402344, 252.8165283203125, 9.100000381469727)",1167630570722879
3,"(nan, nan, nan)","(nan, nan, nan)",1167630570767770
4,"(-65.33082580566406, 243.97555541992188, 9.100000381469727)","(-84.63929748535156, 250.6212615966797, 9.100000381469727)",1167630570813477
5,"(-64.68971252441406, 245.78768920898438, 9.100000381469727)","(-85.51031494140625, 250.7268524169922, 9.100000381469727)",1167630570838585
6,"(-61.99402618408203, 246.11195373535156, 9.100000381469727)","(-83.65926361083984, 249.0330810546875, 9.100000381469727)",1167630570870487
7,"(-64.46109008789062, 243.6600341796875, 9.100000381469727)","(-84.52738189697266, 251.4794464111328, 9.100000381469727)",1167630570902098
8,"(-63.38103485107422, 243.3581085205078, 9.100000381469727)","(-82.75939178466797, 250.5867462158203, 9.100000381469727)",1167630570933374
9,"(-67.60396575927734, 221.87847900390625, 9.100000381469727)","(-86.6849365234375, 249.57125854492188, 9.100000381469727)",1167630570964143
10,"(nan, nan, nan)","(nan, nan, nan)",1167630570998083
11,"(nan, nan, nan)","(nan, nan, nan)",1167630571028471
12,"(nan, nan, nan)","(nan, nan, nan)",1167630571053602
13,"(-83.52571105957031, 180.68975830078125, 9.100000381469727)","(-119.855224609375, 206.65550231933594, 9.100000381469727)",1167630571080498
14,"(nan, nan, nan)","(-118.82579040527344, 244.7159881591797, 9.100000381469727)",1167630571116196
15,"(nan, nan, nan)","(nan, nan, nan)",1167630571157308
16,"(nan, nan, nan)","(-116.74773406982422, 246.51608276367188, 9.100000381469727)",1167630571184414
17,"(-121.28852081298828, 235.4041290283203, 9.100000381469727)","(-143.22769165039062, 247.44691467285156, 9.100000381469727)",1167630571224862
18,"(-142.48745727539062, 240.79660034179688, 9.100000381469727)","(-162.26858520507812, 249.10914611816406, 9.100000381469727)",1167630571253325
19,"(-140.80029296875, 240.0088348388672, 9.100000381469727)","(-159.72776794433594, 249.4390411376953, 9.100000381469727)",1167630571283315
