,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167706605812512,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167706605849467,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167706605892067,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167706605934672,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167706605977232,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167706606019813,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
6,1167706606062678,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
7,1167706606107099,"(0.556943953037262, 0.3006926476955414, 0.38937297463417053)","(-24.344829559326172, 64.60820770263672, 566.8118896484375)",1,"(-2.1254005432128906, 605.7510986328125, 9.100000381469727)","(0.4985724091529846, -0.6737024188041687)",1,"(0.4733636677265167, 0.29058918356895447, -0.15342335402965546)","(4.191222667694092, 47.77741241455078, 403.9729919433594)",1,"(-87.0414047241211, 213.70423889160156, 9.100000381469727)","(0.36348748207092285, 0.4350462853908539)",1
8,1167706606148210,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.4771307110786438, 0.2901374101638794, -0.15332499146461487)","(3.313018321990967, 47.88032150268555, 404.00250244140625)",1,"(-15.266474723815918, 213.98342895507812, 9.100000381469727)","(0.47766751050949097, 0.4342567026615143)",1
9,1167706606278104,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.4766792058944702, 0.2919326722621918, -0.1546223908662796)","(3.415727138519287, 47.456520080566406, 403.61328125)",1,"(-87.23125457763672, 216.86012268066406, 9.100000381469727)","(0.36318546533584595, 0.4261211156845093)",1
10,1167706606347884,"(0.5471956729888916, 0.2947833836078644, 0.3742612600326538)","(-20.471622467041016, 65.7981185913086, 562.2783813476562)",1,"(-121.17457580566406, 535.2518310546875, 9.100000381469727)","(0.30918821692466736, -0.4743230938911438)",1,"(0.4776502251625061, 0.29206982254981995, -0.15452443063259125)","(3.19052791595459, 47.432518005371094, 403.6426696777344)",1,"(-62.20328140258789, 213.1986083984375, 9.100000381469727)","(0.4030001163482666, 0.43647629022598267)",1
11,1167706606400677,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.4783797264099121, 0.2919456660747528, -0.15442636609077454)","(3.0209267139434814, 47.46291732788086, 403.6720886230469)",1,"(-63.74665832519531, 217.11367797851562, 9.100000381469727)","(0.4005449116230011, 0.42540404200553894)",1
12,1167706606453623,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.47881069779396057, 0.29170745611190796, -0.1543758064508438)","(2.920323610305786, 47.51521682739258, 403.687255859375)",1,"(-63.28239822387695, 222.6706085205078, 9.100000381469727)","(0.40128347277641296, 0.4096885025501251)",1
13,1167706606512345,"(0.548154354095459, 0.29523834586143494, 0.3747418224811554)","(-20.835025787353516, 65.68351745605469, 562.4225463867188)",1,"(-146.06736755371094, 573.3792724609375, 9.100000381469727)","(0.2695885896682739, -0.5821515321731567)",1,"(0.47886183857917786, 0.29171106219291687, -0.15436697006225586)","(2.9084222316741943, 47.51481628417969, 403.6899108886719)",1,"(-63.965538024902344, 223.57347106933594, 9.100000381469727)","(0.40019673109054565, 0.40713509917259216)",1
