,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167708546161765,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167708546198871,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167708546241504,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167708546284085,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167708546326712,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167708546369284,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
6,1167708546409229,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
7,1167708546449474,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.45078831911087036, 0.4599784016609192, 0.5904109477996826)","(18.153812408447266, 15.822328567504883, 627.123291015625)",1,"(-90.84632110595703, 511.2570495605469, 9.100000381469727)","(0.35743460059165955, -0.40646347403526306)",1
8,1167708546619318,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(0.45247435569763184, 0.4607315957546234, 0.5858514308929443)","(17.41922950744629, 15.547918319702148, 625.7554321289062)",1,"(-70.76860809326172, 483.6996154785156, 9.100000381469727)","(0.38937434554100037, -0.3285282552242279)",1
9,1167708546686546,"(0.5835506916046143, 0.4736827313899994, 0.6061985492706299)","(-37.94902038574219, 11.158222198486328, 631.8595581054688)",1,"(-93.70703125, 498.87579345703125, 9.100000381469727)","(0.3528837561607361, -0.3714480698108673)",1,"(0.4529600739479065, 0.4612053334712982, 0.5845204591751099)","(17.20821762084961, 15.389822006225586, 625.3561401367188)",1,"(-89.55541229248047, 494.3476867675781, 9.100000381469727)","(0.35948818922042847, -0.358642041683197)",1
