,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167630870582117
1,"(218.5373992919922, 216.05699157714844, 9.100000381469727)","(224.5194854736328, 213.94065856933594, 9.100000381469727)",1167630870970105
2,"(216.78509521484375, 215.86264038085938, 9.100000381469727)","(219.66845703125, 209.13748168945312, 9.100000381469727)",1167630871001461
3,"(nan, nan, nan)","(nan, nan, nan)",1167630871044327
4,"(215.9916229248047, 212.94393920898438, 9.100000381469727)","(218.033203125, 213.088134765625, 9.100000381469727)",1167630871082689
5,"(217.00497436523438, 211.0417938232422, 9.100000381469727)","(217.84413146972656, 211.06349182128906, 9.100000381469727)",1167630871108924
6,"(215.87994384765625, 211.08932495117188, 9.100000381469727)","(218.03628540039062, 212.6927490234375, 9.100000381469727)",1167630871150064
7,"(217.16311645507812, 214.21652221679688, 9.100000381469727)","(219.61105346679688, 213.33746337890625, 9.100000381469727)",1167630871183743
8,"(154.43641662597656, 217.95147705078125, 9.100000381469727)","(149.9090118408203, 224.28294372558594, 9.100000381469727)",1167630871218834
9,"(123.40553283691406, 225.4020233154297, 9.100000381469727)","(114.37207794189453, 224.23753356933594, 9.100000381469727)",1167630871253476
10,"(119.2157974243164, 222.4032745361328, 9.100000381469727)","(109.17123413085938, 224.2045135498047, 9.100000381469727)",1167630871287429
11,"(119.85337829589844, 224.3148651123047, 9.100000381469727)","(108.0101318359375, 226.95062255859375, 9.100000381469727)",1167630871320684
12,"(119.35516357421875, 225.3858642578125, 9.100000381469727)","(106.8061752319336, 224.73587036132812, 9.100000381469727)",1167630871356075
13,"(118.5216293334961, 224.6027374267578, 9.100000381469727)","(105.9205551147461, 222.42071533203125, 9.100000381469727)",1167630871389472
14,"(121.27698516845703, 221.39031982421875, 9.100000381469727)","(103.7080307006836, 225.1091766357422, 9.100000381469727)",1167630871423889
15,"(116.81798553466797, 223.77407836914062, 9.100000381469727)","(103.78235626220703, 222.72470092773438, 9.100000381469727)",1167630871458799
16,"(23.801025390625, 241.37025451660156, 9.100000381469727)","(-2.8255975246429443, 247.3768768310547, 9.100000381469727)",1167630871493097
17,"(3.5873963832855225, 242.2845916748047, 9.100000381469727)","(-24.734643936157227, 251.1587371826172, 9.100000381469727)",1167630871527392
18,"(2.3439786434173584, 240.22300720214844, 9.100000381469727)","(-16.86752700805664, 248.5191192626953, 9.100000381469727)",1167630871562342
19,"(2.043750524520874, 240.6374053955078, 9.100000381469727)","(-17.344812393188477, 245.96597290039062, 9.100000381469727)",1167630871597316
20,"(2.846747398376465, 242.8461151123047, 9.100000381469727)","(-26.90890121459961, 252.74180603027344, 9.100000381469727)",1167630871637309
21,"(3.4994664192199707, 240.2530517578125, 9.100000381469727)","(-22.974672317504883, 250.91864013671875, 9.100000381469727)",1167630871678631
